"","V22","V25","V26","V27","V28","V29"
"488",-1.475,-0.485,-0.015,-0.515,0.275,-0.035
"491",1.395,-0.055,-0.155,0.735,0.475,0.725
"498",0.2875,0.1375,0.4375,-0.0425,0.7875,-0.3225
"500",0.2625,0.1825,0.4725,-0.0975,0.7125,-0.4575
"505",-0.05501953,0.6349805,0.4349805,-0.1350195,0.04498047,-0.6350195
"508",0.8999902,0.9999902,0.1599902,0.7999902,0.3999902,-0.01000977
"511",0.87,0.09,0.65,0.05,-8.605855e-19,-0.58
"525",-0.3599805,-0.08998051,-0.2499805,1.94931e-05,-0.4599805,-0.03998051
"526",-0.4699805,-0.3499805,-0.4999805,0.05001949,-0.7399805,-0.3199805
"534",0.2950195,-0.2049805,-0.3249805,-0.2849805,-0.2549805,0.1450195
"546",-0.68,0.44,-0.04,-0.03,-0.16,0.36
"551",1.495,2.375,0.955,-0.465,-0.065,-0.095
"557",1.225,1.595,-1.165,-0.105,0.155,-0.665
"559",0.73,1.44,0.28,-0.37,-0.36,-0.79
"566",-0.035,-1.155,-0.325,-0.255,-0.465,0.385
"582",-0.11,0.39,0.34,0.3,-0.49,0.14
"583",0.145,0.665,0.135,0.005,-0.455,-0.025
"587",-0.1949902,0.6050098,0.5150098,0.5150098,-0.5749902,-0.3449902
"593",0.1175195,0.4475195,0.9675195,0.04751949,0.02751949,-0.1724805
"595",0.65,0.01,1.23,-0.5,-0.16,0.36
"597",0.345,-0.435,-0.565,0.495,-0.035,-0.085
"603",-8.673617e-19,0.3,0.58,-0.04,-0.45,0.22
"604",1.35,-0.48,-0.26,0.04,-1.14,-0.19
"612",0.435,-0.615,-0.245,-0.445,0.205,0.365
"614",-1.685,-0.775,-0.145,-0.555,-0.045,0.555
"619",0.195,-0.795,0.215,-0.285,-0.625,0.195
"623",0.14,1.05,0.27,-0.11,0.31,0.39
"624",-0.4225,0.0275,0.6675,0.1275,-0.1625,-0.0925
"629",-0.2649805,0.4050195,-0.3049805,-0.6249805,0.3750195,0.3350195
"632",1.31001,0.1700098,-0.1199902,-0.4399902,0.5400098,0.8400098
"640",0.385,-0.355,0.545,-0.125,-0.675,0.195
"641",0.325,-0.565,0.155,0.445,-0.525,-0.075
"642",0.24,-0.49,-0.06,0.27,-0.51,0.06
"646",0.355,-1.705,-1.145,0.095,-0.725,0.155
"650",0.215,0.005,0.085,-0.535,-0.555,0.075
"656",0.285,-0.475,-1.175,-0.185,-0.275,0.065
"658",0.525,-0.435,-0.715,-0.415,-0.345,-0.105
"666",0.6450098,-0.1749902,0.8350098,-0.3549902,-0.3949902,0.3050098
"667",0.155,-0.265,0.605,-0.095,-0.795,0.375
"670",0.7200098,-0.2799902,0.1300098,-0.2699902,0.05000977,0.3500098
"672",0.145,0.425,0.615,0.315,0.255,0.475
"675",-0.14,0.82,0.57,-0.02,0.48,0.52
"678",-0.5,-0.09,-0.99,-0.01,-0.11,0.29
"679",-0.12,-0.78,-0.9,0.01,0.25,0.28
"680",-0.1550098,-0.8550098,-0.3950098,-0.005009766,0.1449902,0.4149902
"681",-0.12,-0.88,-0.65,-0.15,0.33,0.48
"682",0.4549902,-0.6650098,-0.6350098,-0.7350098,-0.2950098,0.2049902
"683",0.57,-0.54,0.73,0.42,-0.26,0.53
"684",0.76,0.29,0.34,0.19,-0.16,0.32
"687",0.08,-0.06,1.23,-0.4,0.95,0.13
"699",1.2625,-0.6375,-0.7275,-0.3175,-0.6775,0.7225
"704",-0.465,0.125,0.625,0.065,-0.725,0.025
"710",-0.03,-0.66,0.39,-0.16,-0.59,-1.12
"711",0.085,-0.665,0.215,-0.185,-0.655,-0.975
"712",-0.1999902,-0.9499902,0.2400098,-0.2599902,-0.7099902,-1.09999
"716",0.155,-0.055,-0.675,0.005,-0.815,-0.135
"721",0.51,0.25,-0.44,-0.17,-0.38,-0.54
"722",0.6149902,-0.3050098,-0.4350098,-0.3350098,-0.9250098,-0.9750098
"723",0.6200195,-0.4899805,-0.1399805,0.01001949,-1.209981,-0.6199805
"726",0.015,0.005,0.245,-0.005,-0.475,-0.405
"733",0.06499023,-0.2550098,-0.1150098,0.1549902,0.2249902,0.1049902
"735",0.6,0.01,0.2,-0.71,-0.82,-0.7
"736",0.55,0.25,-0.19,-0.31,-0.11,-0.41
"738",-0.595,0.495,-0.685,0.655,-0.005,0.255
"740",-0.5825098,0.04749023,-0.3525098,-0.3425098,-0.7125098,-0.7125098
"744",-0.3075,1.1825,-0.4275,0.1425,-0.8075,-0.1975
"745",-0.2049902,0.5250098,-0.3849902,-0.04499023,-0.3849902,-1.11499
"751",0.3875,-0.5225,0.4175,-0.4925,-0.5425,-0.5025
"758",-0.2,0.18,0.11,0.24,-0.13,-0.4
"761",-0.4350098,0.2449902,-0.2050098,0.02499023,0.1949902,-0.2150098
"765",0.155,-0.035,-0.255,-0.065,0.645,0.005
"769",0.0775,0.3475,0.2875,0.3575,-1.0125,0.2675
"770",0.1450098,0.01500977,-0.3949902,0.08500977,-0.5249902,0.06500977
"776",-0.04998051,-0.1399805,-0.5099805,0.1400195,0.1000195,0.02001949
"779",-0.175,0.295,0.335,0.215,0.405,-0.185
"781",-0.775,-0.145,0.545,0.295,0.365,0.255
"800",0.145,-0.445,-0.435,0.015,0.005,-0.265
"805",-0.35,0.66,-0.09,-0.5,-0.26,-0.21
"807",-1.32999,-0.04999023,0.5800098,-0.3499902,0.1100098,0.2200098
"812",-0.4425,0.3775,-0.8825,-0.0825,-0.9025,-0.6125
"813",-0.41,1.02,0.16,0.4,-0.49,-0.38
"814",-0.02,0.04,-0.17,-0.24,-0.15,0.21
"815",0.475,-0.255,-0.105,-0.605,-0.285,0.145
"819",-0.659961,-0.219961,0.840039,0.100039,-1.489961,-0.149961
"823",-1.115,-0.065,0.935,-0.375,-0.885,-0.435
"824",-1.099981,-0.2499805,1.230019,-0.1399805,-1.339981,-1.049981
"825",-1.01,-0.31,0.94,-0.19,-1.08,-0.85
"826",-1.5975,-0.3275,0.6225,-0.2275,-0.8275,-0.9075
"831",-0.32,0.4,0.93,-0.28,-1.78,-0.89
"832",-0.175,0.075,-0.015,-0.425,-0.895,-1.025
"833",0.01,0.09,0.33,-0.42,-0.9,-0.69
"834",-0.065,-0.125,0.215,-0.675,-0.795,-0.725
"838",-0.555,-0.365,0.275,0.065,-0.395,-0.595
"839",-1.61,0.07,1.03,-0.29,-1.02,-0.26
"843",0.1699902,0.1999902,-0.2700098,-0.3400098,-0.1300098,0.1899902
"853",-1.665,-0.115,0.475,-0.355,-0.245,0.215
"854",-1.095,-0.285,0.905,-0.135,-0.625,-0.605
"856",-0.18,0.37,0.8,-0.37,6.938894e-18,-0.19
"857",-0.025,0.355,0.825,-0.475,-0.145,0.025
"869",-0.13,0.03,-0.02,0.12,0.97,-0.56
"871",0.145,0.155,-0.405,0.255,-0.125,-0.005
"878",0.02,-0.07,0.25,0.29,-0.1,0.54
"881",0.8,0.63,-0.07,0.24,0.6,0.63
"885",0.225,0.315,-0.175,0.155,-0.415,-0.045
"891",-1.025,-0.535,0.585,0.545,0.625,0.465
"892",-0.9300098,-0.4300098,0.4399902,0.4699902,0.4399902,0.3799902
"894",0.115,0.065,-0.005,-0.485,0.005,0.835
"898",-0.8549902,-0.8049902,0.2850098,0.005009766,1.11501,-0.04499023
"899",-1.505,-0.455,0.045,0.055,0.385,-0.215
"900",-0.595,0.245,0.445,-0.125,0.215,-0.265
"901",-0.51,0.03,0.55,-0.07,0.68,-0.19
"902",-0.55,-0.38,0.65,-0.22,0.79,-0.08
"904",-0.8175,0.1125,0.5525,-0.4175,0.3325,-0.4375
"909",-0.495,-0.575,0.545,0.265,0.955,0.055
"911",-0.4400098,0.5399902,-0.1800098,0.3199902,0.1299902,0.05999023
"916",-0.46,-0.36,0.46,-0.07,-0.52,0.03
"920",-0.885,-0.765,0.395,0.085,0.005,-0.475
"921",-0.4050098,-0.7850098,0.1849902,-0.3650098,-0.4450098,-0.5850098
"922",-0.45,-0.05,0.68,-0.32,-0.72,-0.57
"923",-0.36,0.31,0.27,-0.3,-0.82,0.1
"925",-0.7099902,-0.02999023,0.4700098,0.1800098,-0.7399902,0.1300098
"931",-0.515,-1.395,-0.265,0.195,-0.585,0.015
"942",0.07,1.43,0.03,-0.2,-0.05,-0.57
"945",-1.09499,0.3850098,-0.2849902,-0.4449902,0.08500977,-1.66499
"951",0.06500977,0.4150098,0.01500977,-0.1949902,0.2550098,-0.1849902
"958",1.185,0.535,0.095,-0.025,-0.075,-0.575
"959",0.0925,1.2825,-0.5575,-0.1175,0.0325,-0.4975
"960",0.79,-0.44,-0.36,0.44,-0.51,0.2
"963",-0.025,0.045,0.385,-0.265,0.245,0.415
"964",-0.2349902,-0.1649902,0.07500977,0.01500977,0.1950098,0.2450098
"965",0.5899902,1.05999,-0.8000098,0.09999023,0.2899902,0.3399902
"969",-0.36,-0.15,-0.88,-0.01,0.05,0.16
"979",-0.1400098,-0.6300098,0.1699902,-9.765625e-06,-0.8700098,0.6799902
"981",-0.4899805,0.02001949,0.1100195,0.1200195,0.03001949,-0.07998051
"984",-0.31,0.03,0.37,-0.43,-0.28,0.14
"988",0.18,0.29,-0.65,0.24,-0.12,-0.17
"989",0.545,0.735,0.815,1.065,0.585,-0.125
"991",-0.08,0.07,-0.64,-0.01,-0.05,-0.57
"993",-0.215,1.975,-0.535,0.055,-0.035,-0.485
"995",-0.255,-0.545,-0.245,-0.115,0.425,-0.135
"1000",0.54,-0.34,0.49,0.49,0.16,-0.57
"1006",-1.14,0.37,-0.16,-0.35,-0.73,0.97
"1007",-0.59,0.15,-0.47,-0.2,-0.75,0.56
"1010",-2.185,-0.465,-0.535,0.665,-1.995,-0.175
"1016",0.0275,-0.2925,-0.3225,-0.1825,0.1575,0.3175
"1019",0.035,0.245,-0.095,-0.055,0.825,-0.185
"1021",-0.005,0.445,0.275,0.135,0.425,0.035
"1022",0.2,0.35,-0.03,-0.22,6.776264e-21,0.08
"1024",-0.38,-0.14,-0.22,0.07,0.54,0.75
"1028",-0.3599902,-0.2699902,-0.1499902,-0.4899902,-0.2099902,0.7400098
"1029",-0.625,-0.005,-0.785,-0.275,-0.635,0.935
"1037",-0.7300098,0.3199902,0.5099902,0.4299902,-1.02001,0.2099902
"1039",0.305,0.665,0.225,-0.245,-0.135,0.385
"1040",-0.195,0.355,0.965,-0.045,-0.015,0.465
"1044",-0.645,0.155,1.205,-0.155,-0.345,0.545
"1046",-1.19001,0.9099902,-0.7100098,0.1699902,-0.5900098,0.4199902
"1056",-0.595,0.795,0.425,0.405,0.115,0.045
"1059",-0.355,0.355,0.155,-0.005,-0.005,0.055
"1060",-1.46,0.44,-0.66,0.94,0.87,0.26
"1061",-0.425,0.245,0.045,0.255,0.505,-0.355
"1062",-0.31,0.37,0.36,-0.01,0.65,-0.09
"1069",-3.04,0.28,2.42,0.41,1.74,-0.39
"1072",0.05,0.73,0.62,0.82,0.1,-0.2
"1076",-1.32,1.19,0.66,0.54,-0.5,0.6
"1079",-0.595,0.045,0.115,0.085,-0.705,0.515
"1080",-0.8000098,0.6699902,0.2399902,0.4899902,-0.7800098,0.6999902
"1081",-0.84,0.41,0.4,0.46,-0.54,0.85
"1083",-1.09,-1.76,0.02,0.4,-0.45,0.84
"1084",-0.235,0.045,0.725,0.475,-0.335,0.195
"1091",0.205,0.555,-0.015,0.555,-0.005,0.395
"1094",-0.37,1.17,0.84,0.17,0.06,0.35
"1095",-0.155,-0.165,0.835,0.365,-0.605,0.095
"1104",-0.55,0.89,0.95,0.22,0.93,0.22
"1105",-2.09,-0.02,0.65,0.48,1.73,0.62
"1115",-0.5999805,2.170019,0.4600195,0.1200195,-0.1699805,-0.2299805
"1118",-0.745,2.205,-0.225,-0.105,0.245,0.695
"1119",-1.02001,2.45999,-9.765625e-06,0.6099902,-0.4400098,0.2299902
"1122",-1.175,2.165,0.425,-0.895,-0.475,0.125
"1123",-0.555,-0.145,0.415,-0.175,-0.125,-0.235
"1125",-0.525,-0.565,-0.335,0.395,-0.225,-0.085
"1126",-0.15,0.28,-0.53,0.14,-0.34,-0.54
"1127",-0.245,0.615,-0.615,0.155,0.345,-0.425
"1128",-2.4,-0.45,-0.73,-1.58,0.43,0.27
"1132",-0.9899805,-0.1299805,-0.4499805,0.1400195,-0.1499805,-0.8299805
"1133",-1.005,0.615,-1.185,-0.355,0.085,-0.635
"1137",-0.245,0.515,0.975,0.355,1.305,-0.605
"1138",-1.12501,-0.06500977,0.07499023,-0.2250098,0.4849902,-0.7750098
"1144",-1.585,0.005,-0.435,-0.365,-0.635,-0.935
"1151",-0.045,-0.595,-0.235,0.245,-0.345,-0.565
"1155",-0.6075,0.6925,0.0225,-0.5175,0.3525,0.2825
"1156",-0.6150098,-0.5250098,0.5349902,-0.3350098,0.4349902,0.01499023
"1158",-0.07,0.09,-0.48,-0.69,0.38,0.01
"1159",-0.41,0.38,0.03,-0.63,-0.26,-0.07
"1161",-0.68,-0.85,-0.37,-0.44,-0.05,0.32
"1167",-0.9199805,0.2500195,-0.9299805,-0.6599805,-0.01998051,1.030019
"1178",0.025,1.615,0.375,0.455,-0.885,0.695
"1181",0.115,0.615,-0.655,0.225,-0.915,-0.145
"1190",-0.48,-4.336809e-19,-0.05,0.28,-0.78,-0.06
"1192",-0.355,-0.245,0.095,0.315,-0.345,-0.585
"1194",1.375,0.265,0.345,0.635,0.045,-0.105
"1195",0.6100098,-0.4599902,-0.1899902,0.7600098,0.2300098,0.5200098
"1198",0.065,0.025,-0.555,0.005,-0.135,0.335
"1204",-0.3,-0.67,-0.09,-0.42,0.11,-0.46
"1214",0.6200195,0.5000195,1.94931e-05,-0.1799805,0.6600195,-0.05998051
"1215",0.01,-0.18,-0.39,0.52,0.03,-0.5
"1224",-0.595,-0.195,-0.365,0.075,0.555,-0.305
"1226",0.1450195,0.2850195,0.1850195,-0.2249805,-0.09498051,0.9550195
"1228",-0.295,-0.025,-0.905,-0.525,0.185,-0.165
"1235",0.185,-0.025,-0.635,-0.055,0.175,-0.025
"1244",0.2150098,-0.1649902,-0.9849902,-0.4049902,-0.5849902,0.05500977
"1254",0.545,-0.055,-0.055,-0.045,-0.225,-0.055
"1260",0.4125,0.2725,0.2125,-0.3375,-0.0875,-0.8175
"1261",0.2875,-0.0525,0.0475,-0.1425,-0.4425,-0.4825
"1262",-0.04500977,0.3249902,0.2649902,0.1249902,-0.3550098,-0.5050098
"1270",0.05000977,0.4800098,0.08000977,-0.1799902,-0.5899902,-0.04999023
"1278",-0.6675,0.0025,-0.1775,-0.0975,-0.1575,0.3325
"1282",0.21,-1.6,0.12,-0.12,0.24,0.42
"1284",-0.335,-0.025,-0.305,-0.485,0.535,0.125
"1289",0.435,0.195,-0.585,-0.125,0.515,0.025
"1290",0.5499902,-0.3200098,-0.6500098,-0.2000098,0.4999902,-0.1400098
"1293",0.2299902,0.06999023,-0.2500098,0.3899902,0.5199902,-0.3600098
"1296",0.43,-0.58,0.06,0.56,0.26,-0.46
"1299",-0.095,0.315,-0.635,0.155,-0.415,-0.505
"1306",0.125,0.165,-0.725,0.615,0.245,-0.195
"1307",-0.275,0.955,-0.515,-0.235,0.055,-0.755
"1312",0.855,0.265,-0.375,0.265,0.395,-0.675
"1317",-0.265,0.385,0.345,-0.025,0.505,-0.555
"1324",-0.2900195,0.9699805,-0.7800195,0.4499805,0.1499805,-0.6100195
"1325",0.085,-0.155,-0.435,0.065,0.565,-0.385
"1328",-0.345,0.885,-0.525,0.205,0.235,-0.885
"1334",0.18,-0.3,0.52,0.28,-0.27,-0.57
"1336",0.415,-0.145,-0.755,0.285,-0.145,-1.075
"1338",0.1700098,-0.9199902,0.1800098,0.3700098,-0.5199902,-0.4199902
"1346",0.245,-0.405,-0.715,0.425,-0.505,1.095
"1348",-1.33,-0.03,-0.81,-0.01,-0.13,0.22
"1349",-1.635,-0.375,-1.055,-0.075,-0.625,-0.015
"1350",-0.72,-0.57,-0.62,-0.26,-0.96,-0.18
"1353",-0.1,-0.03,0.34,0.36,-0.52,-0.16
"1358",-0.5549805,-0.7549805,0.05501949,-0.3749805,-0.5849805,0.04501949
"1359",-0.575,-0.485,-0.475,0.785,0.505,0.145
"1364",0.235,0.485,0.425,0.175,0.535,-0.335
"1365",-0.23,0.33,0.67,0.39,0.7,-0.37
"1368",-0.01999023,0.3100098,0.1700098,0.3200098,0.08000977,1.55001
"1370",-0.51,-0.09,-0.18,0.16,0.03,-0.24
"1385",-1.23,-0.62,0.13,0.48,-0.81,0.69
"1401",-1.64,1.28,0.39,-0.36,-0.16,0.9
"1402",-1.2,0.21,1.28,-0.73,-0.46,1.07
"1413",-0.1349903,-0.9149903,-0.1449903,-0.09499027,-0.8349903,-0.2649903
"1419",-0.5299902,-0.3599902,-0.9399902,0.5900098,0.3700098,-0.3999902
"1420",-0.205,-0.045,0.805,0.005,-0.195,-0.475
"1422",-0.48,1.13,0.85,-0.38,0.15,-0.65
"1424",-0.075,1.095,0.595,0.025,-0.605,0.035
"1426",-0.5250098,-0.06500977,0.2149902,0.2949902,-0.5650098,0.1149902
"1427",-0.5225,0.4675,-0.0225,0.2675,-0.5725,-0.0025
"1428",-0.865,0.325,0.135,-0.095,-0.595,-0.595
"1429",-0.405,0.075,0.205,-0.245,-1.035,-0.385
"1436",-0.4699805,-0.1099805,0.1700195,-0.1099805,-0.6599805,1.94931e-05
"1439",-0.74,0.26,3.469447e-18,-0.08,-0.09,-0.25
"1441",-0.995,0.035,-0.125,-0.005,-0.315,0.125
"1444",-1.4225,0.2875,0.0075,0.1375,-1.6025,-0.6725
"1445",-1.2675,-0.0575,0.8825,-1.0675,-2.0075,-0.7175
"1446",-1.15499,-0.2849902,0.8550098,-0.9749902,-2.24499,-0.6949902
"1449",-0.64,0.58,-0.53,0.32,-0.43,-0.55
"1452",-0.31,-1.13,-0.96,0.08,-0.62,-6.938894e-18
"1454",-0.015,0.005,-0.635,0.055,-0.285,0.075
"1455",-0.6599805,-0.2399805,-0.6799805,-0.5799805,-0.5899805,-0.1799805
"1456",-0.635,0.235,-0.345,-0.225,-0.215,-0.205
"1460",0.2000098,9.765625e-06,-1.86999,0.4800098,-1.33999,0.4200098
"1461",-3.469447e-18,0.1,-0.09,0.09,-1.29,0.37
"1462",-0.205,0.225,-0.125,0.295,-0.815,-0.125
"1473",0.2925,-0.0575,1.1125,0.6725,0.0125,-0.3675
"1479",0.125,0.635,-0.275,-0.005,0.035,0.245
"1483",0.08999023,-0.3600098,-0.9300098,0.06999023,-0.4700098,-0.05000977
"1484",0.3349902,-0.1850098,-0.1050098,0.1849902,-0.5850098,-0.2650098
"1492",0.59,0.06,0.01,0.05,0.44,-0.1
"1497",-0.425,-0.445,-0.315,-0.455,-0.255,-0.015
"1501",0.29,-0.76,-0.25,-0.32,0.27,0.05
"1503",0.08001949,-0.03998051,0.03001949,-0.08998051,-0.3499805,0.1200195
"1506",-0.33,-0.2,-0.21,0.17,-0.69,-0.13
"1509",-0.405,0.585,0.285,-0.155,-0.255,0.285
"1510",0.15,-0.35,-0.25,0.01,-0.89,-0.34
"1511",-0.65,-0.26,-0.41,-0.14,-0.73,0.4
"1512",-0.805,-0.455,-0.415,-0.165,-0.235,0.085
"1513",-0.845,-0.625,-0.675,-0.205,-0.335,0.035
"1514",-0.4849902,-0.05499023,0.3150098,0.005009766,-0.4349902,-0.08499023
"1519",0.6400098,-0.1199902,-0.2199902,0.1600098,-0.6499902,-0.2399902
"1521",-0.25,0.37,-0.43,-0.02,-0.77,-0.79
"1522",0.2850195,-0.1549805,0.3850195,-0.3449805,-0.2749805,0.2050195
"1524",0.415,0.355,0.205,0.005,-0.775,0.005
"1528",0.1650098,0.1250098,0.09500977,0.07500977,-0.6249902,-0.1349902
"1532",0.04,1.28,-0.58,0.16,-0.57,-0.09
"1535",-0.445,-0.405,-0.625,0.095,-0.325,-0.495
"1536",0.0325,-0.2575,-0.4875,0.3025,-1.0275,-0.7475
"1542",-0.19,-0.07,-0.46,-0.06,-0.94,0.12
"1547",0.195,0.045,-1.075,-0.045,-0.585,-0.645
"1548",0.3650195,0.6750195,-0.5949805,0.2350195,-0.5049805,-0.4649805
"1550",0.7600195,0.02001949,-0.6799805,0.1100195,-0.8499805,-0.1099805
"1551",0.76,0.54,-0.95,0.02,-0.12,-0.28
"1555",-0.1949805,0.2850195,-0.4049805,0.4450195,-0.8049805,-0.3949805
"1556",-0.11,0.1,-0.17,0.45,-0.55,-0.44
"1557",-0.095,-0.115,-0.365,0.295,-0.545,-0.525
