"","V42","V43","V44","V45","V46","V47","V48"
"761",0.3249512,0.5849902,0.4149902,0.2450098,0.1349902,0.1349902,0.5349707
"765",-0.08503899,0.135,0.205,0.6050195,0.175,0.355,0.6249805
"769",-0.122539,0.1575,0.2575,0.01751953,0.3175,-0.5125,-0.1425195
"770",-0.07502922,0.2050098,0.03500977,-0.1849707,0.04500977,-0.3949902,0.1649902
"776",-1.94931e-05,0.1200195,0.3500195,0.750039,-0.03998051,0.1000195,-0.4
"779",0.05496101,0.115,0.405,0.09501953,0.145,0.485,-0.5750195
"781",-0.155039,-0.115,0.195,-0.1549805,-0.275,0.015,0.3749805
"800",0.594961,-0.005,0.415,-0.7649805,0.105,0.075,-0.2450195
"805",-0.08003899,-0.03,-0.42,-0.2399805,-0.24,0.21,-0.1600195
"807",-0.4100292,-0.5199902,-0.1099902,-0.4399707,-0.6999902,-0.7999902,-0.3100098
"812",0.05746101,0.6275,-0.0925,0.3275195,0.7675,0.5175,-0.1125195
"813",0.05996101,0.44,0.32,0.1900195,0.48,-0.14,0.5599805
"814",0.349961,0.51,-0.84,-0.5399805,-0.51,0.37,-0.1100195
"815",0.03496101,0.025,0.065,-0.1649805,0.155,0.005,-0.1150195
"819",0.01,-0.109961,-0.239961,-0.07994148,0.210039,-0.219961,0.7200195
"823",-0.02503899,0.045,0.065,-0.2249805,0.105,-0.405,-0.05501953
"824",-0.2000195,-0.3199805,0.1900195,-0.139961,0.7000195,-0.009980507,-0.17
"825",-0.380039,-0.51,0.06,-0.03998047,0.07,-0.38,0.5499805
"826",-0.647539,-0.7675,-0.4475,-0.6774805,0.2525,-0.6675,0.4024805
"831",0.05996101,-0.07,-0.86,-0.1399805,-0.23,-0.4,-0.5400195
"832",-0.09503899,0.045,-0.355,-0.3049805,-0.065,-0.425,-0.1450195
"833",-0.310039,-0.42,-0.53,-0.6099805,-0.16,-0.25,-0.2300195
"834",-0.345039,-0.485,-0.525,-0.5849805,-0.535,-0.045,-0.3050195
"838",-0.155039,0.525,0.055,-0.3449805,0.075,0.435,-0.1550195
"839",-0.360039,0.13,-0.59,0.4200195,0.47,-0.3,0.5199805
"843",-0.3300488,0.6599902,0.3399902,-0.2999902,-0.2700098,0.4399902,0.9799707
"853",-0.115039,-0.765,0.035,0.3850195,0.805,0.985,0.8149805
"854",0.05496101,-0.115,0.315,0.8550195,-0.005,-0.435,0.7149805
"856",-0.450039,-0.06,-6.938894e-18,-0.4099805,-0.12,-0.38,0.9699805
"857",-0.575039,-0.545,-0.235,-0.6449805,-0.505,-0.595,0.5849805
"869",0.399961,0.13,0.99,0.5900195,0.25,0.25,0.6699805
"871",0.194961,0.485,0.495,-0.2249805,0.275,0.575,0.8649805
"878",0.479961,0.21,0.83,0.4300195,0.05,-0.07,-0.05001953
"881",0.659961,0.28,1.06,0.2200195,0.19,0.36,0.2599805
"885",0.164961,0.115,0.275,0.3750195,-2.595,1.005,0.8349805
"891",0.734961,0.495,0.475,-0.5449805,1.405,0.685,-0.08501953
"892",0.5599512,0.4599902,0.2699902,-0.4399902,0.9899902,0.2699902,-0.1000293
"894",-0.385039,0.475,0.455,-0.7549805,-0.125,0.205,-0.2150195
"898",-0.07502922,-0.1649902,0.2850098,0.1750293,0.2950098,0.4650098,-0.005009766
"899",0.324961,0.445,0.855,0.1550195,0.135,0.455,0.6949805
"900",0.07496101,0.435,0.345,0.4550195,0.445,-0.205,-0.1450195
"901",0.159961,0.8,0.22,0.5800195,0.29,0.1,-0.08001953
"902",0.299961,0.91,0.11,0.3500195,0.15,0.14,-0.08001953
"904",0.292461,0.2125,-0.2275,0.4725195,-0.1775,0.0025,-0.4875195
"909",0.05496101,-0.095,0.115,-0.1549805,-0.235,0.505,-0.9050195
"911",-0.4300488,-0.03000977,-0.4600098,-0.3099902,-0.4200098,0.6599902,-0.0100293
"916",0.199961,-0.61,-0.33,-0.1699805,-0.12,-0.17,-0.4400195
"920",0.06496101,-0.355,0.125,-0.06498047,0.495,0.145,-0.3450195
"921",-0.1350488,-0.4750098,0.2249902,0.03500977,0.4349902,0.6449902,-0.2350293
"922",-0.470039,-0.03,0.09,-0.09998047,0.29,0.55,-0.1200195
"923",-0.250039,-0.41,-0.09,-0.04998047,0.13,0.44,-0.1400195
"925",-0.2300292,-0.4999902,0.2000098,-0.2799707,0.2400098,-0.1199902,-0.8300098
"931",0.02496101,-0.475,-0.115,0.05501953,0.055,0.255,-0.2650195
"942",-0.110039,-0.34,-0.24,-0.5399805,-3.455894e-18,-1.28,-0.7400195
"945",0.3349708,-1.73499,0.1750098,-1.214971,-0.3549902,-0.9549902,-0.6650098
"951",0.2049708,-1.20499,-0.5549902,1.095029,-0.2849902,0.2250098,-0.5950098
"958",0.714961,-0.765,0.465,-0.05498047,-0.325,-0.205,0.04498047
"959",0.122461,-0.1375,0.3125,-0.1174805,0.1925,0.2625,-0.2675195
"960",0.929961,0.15,0.22,-0.1499805,-0.28,6.938894e-18,-0.1200195
"963",0.04496101,-0.565,0.465,-0.1949805,-0.575,-0.195,-0.2950195
"964",0.02497078,-0.4249902,0.3050098,-0.2149707,-0.4749902,0.05500977,0.5249902
"965",0.2299512,-0.1600098,0.6199902,0.1000098,0.3499902,0.6699902,0.2099707
"969",0.469961,-0.32,-0.31,0.05001953,0.13,0.01,0.3499805
"979",0.5299512,-0.3000098,0.1699902,-0.3199902,0.4499902,0.8399902,0.6399707
"981",-0.1800195,-0.1199805,0.1900195,0.110039,0.1700195,0.1800195,-0.05000004
"984",-0.09003899,-0.01,-0.03,0.02001953,0.32,0.71,0.4999805
"988",0.549961,-0.14,0.57,0.1900195,0.59,-0.15,0.1899805
"989",0.974961,0.285,-0.005,-0.2249805,-0.245,-1.525,-1.32502
"991",0.449961,-0.58,-0.71,-0.04998047,-0.29,0.77,-0.4400195
"993",0.474961,-0.415,-0.295,0.6250195,0.485,0.905,-0.2350195
"995",0.624961,0.485,0.135,-0.01498047,0.395,0.035,-0.4550195
"1000",-0.220039,-0.29,-0.46,-0.02998047,0.55,-0.55,0.5999805
"1006",1.009961,-0.16,1.24,-0.6299805,0.67,0.22,-0.3500195
"1007",0.699961,0.36,0.94,0.07001953,0.31,0.29,0.1999805
"1010",-0.745039,0.175,1.355,-0.9549805,1.585,0.505,0.9849805
"1016",0.08746101,0.0075,-0.0925,-0.1324805,-0.0725,0.5975,0.7674805
"1019",0.174961,-0.045,-0.245,-0.5449805,-0.285,0.485,-0.03501953
"1021",0.304961,0.065,0.085,0.1050195,0.155,0.435,0.2549805
"1022",-0.01003899,0.2,-0.12,-0.5699805,-0.12,0.7,0.2299805
"1024",0.04996101,0.28,-0.23,0.6800195,-0.28,0.43,-0.7800195
"1028",0.06997078,1.13001,-0.01999023,0.3000293,0.9100098,1.44001,0.009990234
"1029",0.134961,1.025,-0.345,0.1050195,1.045,1.345,-0.3150195
"1037",0.1299512,0.1999902,0.08999023,0.4900098,0.6999902,1.40999,1.719971
"1039",0.634961,0.235,0.935,0.8450195,0.695,0.925,0.5249805
"1040",-0.545039,0.045,0.235,1.23502,0.475,0.795,0.3449805
"1044",-0.185039,-0.215,-0.035,1.44502,0.075,1.555,0.1749805
"1046",0.06995125,0.05999023,-0.1900098,1.07001,0.5299902,0.3999902,0.5899707
"1056",-0.07503899,0.155,-0.075,0.2450195,-0.175,1.085,0.3949805
"1059",-0.475039,0.005,-0.035,0.3250195,0.295,0.765,0.09498047
"1060",0.369961,1.07,2.4,2.56002,1.9,2.36,1.55998
"1061",0.124961,-0.005,0.555,0.1750195,-0.305,-0.395,0.2149805
"1062",0.189961,0.08,0.28,0.5700195,0.44,0.36,0.4299805
"1069",0.159961,-0.02,0.44,0.7700195,0.9,0.08,0.3199805
"1072",-0.390039,0.95,0.02,-0.4399805,-0.18,-0.81,-0.5300195
"1076",0.369961,0.23,-0.16,-0.4899805,0.4,0.82,0.3299805
"1079",0.264961,-0.055,-0.745,-1.02498,0.435,0.035,0.1149805
"1080",0.3999512,0.3499902,-0.6800098,-0.8599902,0.3499902,0.2099902,0.1199707
"1081",0.499961,0.29,-0.43,-0.9399805,0.4,0.12,0.02998047
"1083",0.519961,0.15,-0.77,-0.9999805,0.74,0.19,-0.04001953
"1084",0.294961,-0.155,-0.795,-1.35498,0.885,-0.415,-0.03501953
"1091",0.174961,-0.145,0.285,0.5450195,-0.325,-0.385,-0.1250195
"1094",0.739961,0.28,0.07,0.6000195,0.3,-0.49,0.2999805
"1095",0.464961,0.005,0.375,-0.09498047,0.525,0.085,-0.03501953
"1104",-1.000039,0.64,0.57,1.04002,-0.38,0.09,-1.09002
"1105",-2.410039,1.55,0.84,1.98002,-0.29,1.13,-0.7100195
"1115",-1.94931e-05,-0.5799805,0.06001949,0.420039,0.2000195,0.06001949,0.19
"1118",0.124961,-0.455,0.555,0.3050195,0.545,0.805,0.5549805
"1119",0.4299512,-0.2900098,-0.02000977,9.765625e-06,0.4499902,0.7699902,0.1499707
"1122",0.934961,-0.645,0.845,1.49502,1.125,1.785,0.8549805
"1123",-0.105039,-0.575,0.015,0.4150195,0.545,0.455,0.3149805
"1125",0.334961,-0.055,0.345,0.5150195,0.455,1.075,-0.1150195
"1126",0.139961,0.05,0.19,0.4900195,0.27,0.81,-0.5200195
"1127",0.06496101,0.145,-0.035,0.1750195,-0.165,0.515,-0.03501953
"1128",-0.170039,-1.28,0.55,0.04001953,-0.26,0.47,0.8399805
"1132",-0.01001949,-0.3499805,0.1600195,0.160039,0.3400195,0.3900195,0.13
"1133",0.374961,-0.515,0.285,0.08501953,-0.465,-0.635,-0.2150195
"1137",0.284961,-0.595,0.365,-0.05498047,0.025,-0.535,0.1549805
"1138",0.2649512,-0.9350098,0.4349902,-0.5349902,0.2449902,-0.1050098,-0.4050293
"1144",-0.235039,-0.005,0.365,0.4550195,-0.075,-0.175,0.4149805
"1151",0.07496101,-0.015,0.065,-0.1249805,0.095,0.235,-0.06501953
"1155",-0.217539,0.4625,-0.3875,-0.06748047,0.3425,0.3225,-1.92752
"1156",-0.3250488,0.04499023,-0.4250098,-0.004990234,-0.04500977,0.03499023,-0.5550293
"1158",-0.150039,1.27,0.1,-0.2199805,0.51,0.37,-0.4800195
"1159",-0.240039,0.76,-0.1,-0.4399805,0.22,0.15,-0.2600195
"1161",-0.150039,-0.13,0.01,-0.4499805,0.04,0.37,-0.3900195
"1167",-0.6700195,0.2600195,0.3900195,-0.389961,0.03001949,0.3500195,-1.61
"1178",0.264961,0.165,-0.225,-0.4249805,0.175,-0.125,0.3749805
"1181",-0.305039,0.345,-0.225,-0.3149805,0.085,0.115,0.1849805
"1190",0.679961,0.71,0.03,0.8400195,0.21,0.42,0.3399805
"1192",-0.175039,1.025,-0.125,0.5750195,-0.085,-0.215,0.1549805
"1194",-0.465039,0.195,0.165,-0.4149805,0.445,-0.055,-0.2250195
"1195",0.6699708,0.4100098,0.1500098,-0.5699707,0.3200098,-0.7699902,-9.765625e-06
"1198",0.134961,0.835,0.305,-0.3249805,0.065,0.115,0.03498047
"1204",0.159961,-0.33,0.37,0.1000195,-0.09,0.01,0.1699805
"1214",-1.94931e-05,0.2100195,0.8200195,0.620039,-0.2099805,1.170019,0.76
"1215",0.479961,-4.231777e-18,0.32,0.8600195,-0.19,-0.24,-0.01001953
"1224",0.144961,-0.015,0.235,0.4250195,0.515,0.525,0.2649805
"1226",-0.1350195,-0.02498051,0.04501949,-0.664961,0.1050195,-0.3949805,-0.255
"1228",-0.02503899,0.205,0.235,-0.2249805,0.425,-0.185,0.2849805
"1235",0.08496101,-0.205,0.885,0.3350195,0.795,1.075,-0.2950195
"1244",0.1249708,0.7450098,0.6150098,0.4750293,-0.05499023,0.6650098,-0.1250098
"1254",0.414961,0.705,0.305,1.38502,0.595,1.405,1.13498
"1260",-0.697539,0.3325,0.0225,0.1625195,-0.2675,0.6525,0.1324805
"1261",-0.282539,0.0175,-0.1725,0.7275195,-0.2525,0.1075,0.2074805
"1262",-0.2550488,0.2249902,-0.2450098,0.3650098,-0.02500977,0.4849902,0.1349707
"1270",0.2699708,0.07000977,0.3600098,-0.5299707,0.3600098,-0.3499902,0.4799902
"1278",-0.317539,0.2825,0.2425,-1.19748,0.0925,-0.0675,0.3624805
"1282",0.369961,0.51,0.48,-0.07998047,0.32,0.17,0.02998047
"1284",-0.03503899,0.315,0.155,-0.5649805,-0.295,0.045,-0.1550195
"1289",0.294961,0.675,0.025,0.5350195,0.345,-0.405,-0.4850195
"1290",0.2199512,0.7599902,-0.3400098,0.5300098,0.1799902,-0.8900098,-0.3100293
"1293",0.2599512,1.07999,0.4099902,1.10001,0.7799902,-0.4900098,-0.4600293
"1296",0.519961,1.6,0.24,0.2700195,-0.66,-0.37,-0.8200195
"1299",-0.255039,0.155,0.265,-0.3449805,0.325,-0.015,-0.4650195
"1306",0.434961,0.685,-0.035,0.3850195,0.005,0.045,-0.1950195
"1307",0.244961,0.535,0.205,0.3350195,0.385,0.275,-0.02501953
"1312",0.314961,0.525,0.465,0.1050195,0.525,-0.585,-0.04501953
"1317",0.234961,-0.155,0.535,0.4750195,0.355,-0.165,-0.2250195
"1324",-0.1400585,-0.03001953,0.2199805,0.14,0.4799805,0.5599805,-0.1100391
