"","V23","V56","V59","V60","V61","V62","V63","V64"
"118",0.7150195,-0.3249805,0.2350195,0.7950195,0.2950195,0.2350195,-0.4149805,0.06501949
"132",-0.34,-1.56,-0.27,-0.91,-0.02,-0.73,-1.44,-1.86
"145",0.57,-0.03,-0.34,0.01,-2.29,-0.29,-0.62,0.08
"146",0.175,0.195,-0.395,-0.415,-0.435,0.685,0.015,0.285
"151",-0.195,-0.265,-0.745,-0.265,-0.275,0.165,0.125,-0.185
"152",-0.15,-0.34,-0.73,-0.16,-0.38,0.1,0.43,-0.04
"153",-0.51,0.31,1.355253e-20,-0.36,-0.23,0.25,-1.355253e-20,-0.22
"157",0.19,0.37,-0.86,0.78,0.14,-0.5,0.3,-0.04
"160",0.39,-0.39,0.06,0.12,-0.69,0.8,0.05,-0.13
"161",0.16,-0.52,-0.34,0.09,-0.38,-0.04,0.14,-0.16
"162",1.645,-1.495,-0.125,0.185,-1.755,-1.365,0.825,-0.725
"164",1.3575,-1.8925,-1.2125,-0.5525,-1.7025,-1.4625,0.6675,-0.7925
"166",-0.02500977,-0.5650098,-0.2250098,-0.4650098,-0.8150098,-0.8450098,-0.6750098,-0.03500977
"172",0.21,-0.29,-0.94,0.05,0.15,0.13,-0.07,-0.47
"175",-0.045,0.005,-0.675,-0.125,-0.665,-0.075,0.315,-0.225
"180",0.825,-0.145,-0.465,-0.005,0.175,0.135,0.075,0.125
"181",-0.2449902,-0.004990234,-0.3149902,-0.8049902,-0.6449902,-0.6349902,-0.9549902,-0.1349902
"184",-0.16,0.28,-0.38,0.9,0.14,-0.02,0.18,0.18
"190",-0.235,0.035,0.005,-0.265,-0.505,-0.125,-0.045,-0.475
"194",-0.5475,-0.4975,-0.6675,-0.1875,0.0425,-0.7375,-1.0975,-1.6075
"200",-0.04,-0.14,0.27,-0.28,-0.02,-0.44,-1.07,-0.09
"201",-0.26,-1.16,-0.35,-0.41,-0.18,-1.28,-2.35,-0.13
"205",0.2200195,-0.8999805,1.580019,0.1100195,-0.1299805,0.6600195,-0.2899805,-1.399981
"217",-0.195,-0.935,-0.585,-0.215,-0.555,0.365,-0.095,-0.215
"218",-0.325,-0.705,0.025,-0.135,-0.525,0.005,0.095,0.125
"220",0.22,-0.2,-0.28,-0.32,0.21,-0.1,-0.15,-0.48
"232",0.2550098,0.4550098,0.2750098,-0.2849902,0.3550098,0.03500977,-0.08499023,-0.4449902
"234",-0.48,-1.04,-1.22,-0.73,-0.8,-0.62,-1.01,-0.6
"235",0.305,-0.175,-0.185,-0.625,-1.105,-0.755,-1.025,-0.035
"240",-0.1525,-0.5925,-0.6125,-0.1125,-0.4125,-0.8725,-1.1425,-0.7825
"245",-1.59,-1.68,-0.56,-0.81,-0.99,-1.22,-2.5,-1.15
"247",-2.07,-1.64,-2.29,-1.7,-1.63,-1.17,-1.52,-1.49
"250",-0.04,-0.3,-1.42,-0.32,-0.65,-0.99,-1.16,-0.92
"251",-0.93,-2.24,-1.09,-0.72,-1.04,-1.06,-1.97,-1.69
"280",0.01,0.75,-0.33,0.09,-0.42,0.28,-0.52,0.04
"281",-2,-0.98,-1.77,-2.23,-2.52,-2.56,0.01,-0.91
"282",-0.29,-0.07,-0.02,-0.6,-0.51,-0.48,-0.54,-0.54
"298",-0.01,0.48,0.48,0.25,-0.76,-0.74,-0.6,0.46
"301",-1.595,-4.315,-0.335,-2.575,-1.035,0.945,0.465,-0.735
"302",-0.1225,0.2075,-0.2525,-0.4525,-0.5925,0.3275,-0.1225,-0.9925
"309",-0.43,-0.55,-0.42,0.29,-0.54,-0.17,1.06,-0.48
"310",0.92,-0.75,-1.06,-0.78,-1.26,-0.91,6.925341e-18,-0.86
"323",-2.54,0.33,1.41,-0.32,-0.07,0.63,-0.91,-1.49
"326",0.155,-1.925,-0.355,-0.735,-1.215,-1.385,-1.925,-1.885
"329",0.345,-1.495,-1.965,-1.825,-1.145,0.015,-1.065,-0.215
"330",0.175,-0.095,-0.965,0.125,0.345,1.035,-0.415,0.425
"334",-0.44,-0.5,-0.4,-0.05,-0.51,0.39,-0.48,0.19
"336",-1.365,-0.775,-1.725,-0.445,-0.445,-0.375,-0.955,-0.925
"337",-2.31,-0.6,-1.21,-0.82,-0.2,0.04,-0.85,-0.42
"340",-1.65,-1.77,-0.91,-1.58,-1,-0.37,-1.69,-1.82
"342",-0.265,-0.425,-0.815,0.235,-0.105,0.015,-0.565,-0.155
"343",-0.4449902,-0.3949902,0.4750098,-0.04499023,-0.5449902,0.1850098,-0.4149902,-0.5749902
"345",-0.305,-0.825,0.435,-0.455,-0.685,-0.305,-0.525,-0.165
"347",0.4624902,-0.1275098,0.5224902,-0.5375098,-0.6075098,-0.8775098,-0.2975098,-0.6475098
"349",0.4200098,-0.2599902,-0.4899902,-0.2099902,-0.4699902,-1.51999,-0.8799902,-0.2899902
"352",0.03500977,0.07500977,0.6850098,-0.9849902,-1.04499,-0.4549902,-0.8549902,-1.03499
"353",-0.715,0.605,-0.515,0.105,0.075,-0.635,-0.505,-0.075
"354",0.11,-0.37,-0.08,-0.62,-0.35,-0.07,-0.67,-0.28
"359",-0.045,-0.285,-0.465,-0.275,-0.685,-0.185,-0.805,-0.095
"363",-0.205,-0.015,0.225,-0.315,0.545,0.535,-0.535,-0.355
"366",-0.64,-0.25,-0.31,0.03,-0.33,0.05,0.41,-0.86
"370",0.1325,-0.6075,0.0425,0.0825,-0.1475,-0.1675,0.0225,-0.6375
"383",-0.1175,0.1825,0.1225,-0.0575,0.2425,0.2725,-0.2475,-0.2775
"393",-0.3,-1.07,-0.91,-0.53,-0.77,-0.32,-0.17,-1.11
"399",0.1949902,-0.6850098,-0.2050098,0.1849902,0.2949902,-0.02500977,0.2049902,0.2649902
"401",0.165,0.195,0.245,0.455,0.445,0.365,0.675,0.555
"402",-0.045,0.305,0.255,0.335,0.865,0.335,-0.785,-0.075
"407",0.44,-1.61,-0.04,-1.13,-0.54,0.53,-0.7,-0.54
"417",0.645,0.195,0.465,0.165,-0.115,-0.005,-0.825,-0.585
"420",-0.04,0.06,-0.64,-0.02,0.05,0.23,-0.31,-0.58
"428",-0.04500977,0.004990234,0.1449902,0.1249902,0.7249902,0.01499023,-0.4550098,-0.6350098
"434",0.235,0.665,0.365,-0.005,0.855,0.785,-0.575,-0.035
"435",0.115,0.565,0.305,-0.235,0.715,0.515,-0.325,0.135
"437",0.255,0.455,0.625,-0.155,0.185,0.505,-0.465,-0.195
"441",-0.18,0.42,0.9,-0.58,0.78,-0.2,-1,-0.16
"445",0.22,0.55,0.2,0.36,0.63,0.66,-0.15,-0.54
"452",0.095,1.065,-0.385,-0.555,0.235,0.005,-0.545,-0.375
"454",0.004990234,1.51499,-0.2350098,-0.9250098,-0.03500977,-0.3650098,-0.6750098,-0.4250098
"455",0.705,1.325,0.175,-0.645,0.235,-0.265,-0.995,-0.305
"457",0.76,1.16,-0.56,-0.69,-3.469447e-18,3.469447e-18,-1.29,-0.4
"460",0.49,-0.01,-0.2,-0.12,-0.07,-0.48,-1.01,-0.62
"463",0.4949902,-0.1150098,0.1049902,-0.7250098,0.2949902,-0.03500977,-0.5950098,-0.3450098
"468",0.705,0.055,0.295,-0.305,-0.745,-0.275,-0.005,-0.505
"475",-0.84,-0.5,-0.25,-0.95,0.13,0.08,0.42,-0.91
"488",0.495,-0.355,-0.115,-0.125,-0.715,-0.395,-0.715,0.085
"491",0.495,-1.075,0.815,0.225,-0.035,-0.295,-0.395,0.415
"498",-0.3025,-0.0525,0.4575,-0.1725,-0.2425,0.0575,-0.7525,-0.4225
"500",-0.3175,-0.2175,0.7625,-0.3975,-0.6875,-0.1075,-1.3975,-0.5675
"505",-0.1050195,-0.005019531,-0.3450195,0.02498047,-0.4150195,-0.09501953,-1.10502,-0.03501953
"508",0.4399902,-0.5700098,-0.3500098,-9.765625e-06,-0.4800098,0.3299902,-0.7100098,0.04999023
"511",0.11,0.43,-0.24,8.605855e-19,-0.09,-0.08,-0.11,-0.03
"525",0.5800195,-0.2199805,0.5100195,0.4900195,-0.3099805,0.8500195,-0.2899805,0.1700195
"526",0.6000195,-0.2299805,0.5100195,0.3700195,-0.6799805,0.6500195,-0.1999805,0.3200195
"534",-0.5249805,-0.01498051,-0.2949805,0.6050195,1.055019,-0.2849805,0.2350195,0.2950195
"546",0.01,0.37,-0.06,-0.07,0.03,-0.06,0.99,-0.22
"551",0.025,0.015,-0.045,0.545,-0.115,-0.335,-0.035,0.005
"557",-0.175,-0.395,-0.035,0.435,-0.235,-0.005,-0.235,0.595
"559",-0.22,0.09,-0.32,0.67,0.3,0.05,0.78,0.09
"566",0.325,-1.005,0.845,0.805,0.915,0.805,0.715,0.675
"582",0.34,-0.34,0.11,0.17,-0.43,-0.32,-0.2,-0.17
"583",-0.145,-0.875,-0.435,0.455,-0.065,-0.145,-0.275,0.575
"587",-0.04499023,-0.4849902,-0.1249902,0.5950098,-0.01499023,-0.2049902,-0.1249902,-0.3149902
"593",-0.2924805,-0.1524805,0.5675195,0.6175195,0.06751949,-0.4224805,-0.4924805,0.5475195
"595",0.06,0.18,0.08,0.51,-0.14,0.54,-0.34,0.15
"597",-0.825,-0.385,-0.785,-0.405,-0.605,-0.225,0.275,0.225
"603",-0.09,-0.25,0.22,-0.06,-0.07,-0.33,-0.07,0.22
"604",-0.99,-0.06,0.95,1.17,1.17,0.76,-0.91,0.78
"612",0.035,0.185,0.375,0.385,-0.185,0.105,-0.425,-0.215
"614",0.135,0.795,-0.185,0.195,0.425,0.305,-0.175,-0.365
"619",-0.275,0.915,-0.335,-0.365,0.135,0.195,0.225,-0.555
"623",-0.21,1.5,-0.14,-0.36,0.9,0.31,-0.35,-0.15
"624",0.0175,1.4375,-0.8025,0.3375,0.3975,0.8175,0.2175,-1.0525
"629",0.7250195,0.2250195,-0.3949805,0.2050195,0.1750195,-0.3849805,0.06501949,0.3550195
"632",0.5000098,0.6700098,-0.3299902,0.08000977,0.4700098,-0.1099902,-0.01999023,-0.5499902
"640",0.465,1.665,0.285,-0.425,0.315,-0.495,0.405,-0.855
"641",0.415,0.835,-0.925,0.005,-0.125,-0.405,-0.395,-0.315
"642",0.23,0.63,-0.8,0.05,-0.21,-0.54,-0.36,-0.43
"646",-0.105,1.055,-1.235,0.135,-0.245,-0.595,-0.315,-0.445
"650",-0.365,0.435,-1.275,0.365,0.105,0.325,-0.225,0.265
"656",0.075,0.625,-0.675,-0.195,-0.115,-0.385,0.135,-0.875
"658",0.295,1.575,-0.415,0.235,0.525,0.575,-0.055,-0.415
"666",0.2150098,0.1750098,-0.3049902,0.3150098,-1.01499,-0.1249902,-0.06499023,0.1550098
"667",0.145,0.415,-0.195,0.275,-0.475,0.135,-0.265,-0.075
"670",9.765625e-06,1.11001,-0.5299902,0.5400098,0.01000977,0.7200098,0.1700098,-0.3799902
"672",-0.365,-0.285,-0.575,0.275,-0.095,0.235,-0.045,-0.155
"675",0.34,0.65,-0.25,0.13,0.26,0.43,0.18,-0.35
"678",-0.1,0.68,-0.55,0.29,0.27,-0.35,0.52,-0.38
"679",-0.22,0.43,-0.87,0.27,0.26,-0.31,0.4,-0.27
"680",0.1449902,0.6649902,-0.2650098,0.3249902,0.2249902,-0.1550098,0.3249902,-0.3150098
"681",-0.04,0.74,-0.45,0.41,0.27,-0.07,0.62,-0.36
"682",-0.1750098,0.7149902,-0.7450098,0.05499023,0.2349902,-0.1150098,0.2849902,-0.5750098
"683",0.22,0.82,-0.46,-0.01,0.22,-0.09,-1.01,-0.18
"684",0.01,0.61,-0.97,-0.06,0.31,-0.09,-0.6,-0.09
"687",-0.68,-0.6,0.12,-1.39,-0.57,-1.11,-0.78,-0.7
"699",0.1025,0.9725,-0.0575,-0.1475,0.3925,-0.2575,0.1525,0.0025
"704",0.055,-0.605,-0.745,-0.835,-0.395,0.005,1.045,0.135
"710",-0.22,0.3,0.62,-0.7,-0.16,0.4,-1.05,0.49
"711",-0.185,0.215,0.535,-0.555,-0.375,0.465,-1.095,0.255
"712",-0.2599902,0.2400098,0.5900098,-0.6799902,-0.2199902,0.4200098,-1.00999,0.4200098
"716",0.695,0.185,0.155,-0.025,-0.495,-0.535,0.205,-0.195
"721",0.39,0.41,0.74,0.55,-0.23,-0.09,-0.14,0.05
"722",0.2049902,0.3549902,-0.2650098,-0.8250098,-0.3850098,-0.2550098,-0.4850098,0.1749902
"723",0.4800195,0.6200195,0.1200195,-0.2999805,-0.2699805,-0.2199805,-0.2499805,0.02001949
"726",0.185,0.455,0.165,-0.515,-0.235,-0.195,-0.035,-0.255
"733",0.4649902,1.12499,0.04499023,0.01499023,0.3049902,0.1849902,0.2049902,0.4049902
"735",0.45,1.58,0.09,0.34,0.64,0.6,0.19,-0.29
"736",0.05,1.35,-0.09,-0.11,0.22,0.19,0.25,-0.36
"738",0.515,-0.015,-0.385,0.145,-0.055,0.065,0.155,-0.035
"740",0.07749023,0.5374902,0.02749023,-0.6225098,0.02749023,0.1774902,0.5774902,-0.1025098
"744",0.3225,-0.3075,0.2625,0.1125,-0.5075,-0.1375,-0.0375,-0.3875
"745",0.5950098,-0.02499023,-0.5449902,-0.4649902,-0.3349902,-0.3249902,0.6250098,0.04500977
"751",-0.6425,-0.2825,-0.1325,0.0875,-0.3825,0.6675,-0.9025,-0.0925
"758",-0.66,0.05,-0.14,-0.07,-0.06,-0.2,0.65,-0.11
"761",0.1249902,0.3249902,0.1849902,-0.09500977,0.1149902,-0.1850098,0.3449902,0.4849902
"765",-0.095,0.155,0.535,0.115,0.105,-0.015,0.665,-0.355
"769",0.4875,0.1175,0.0275,-0.0025,-0.1725,-0.2325,0.2975,0.0475
"770",0.04500977,-0.1949902,-0.2649902,-0.1749902,-0.1849902,-0.08499023,-0.07499023,0.1650098
"776",1.94931e-05,-0.7399805,0.5200195,-0.3399805,0.5400195,0.8200195,0.7400195,-0.2199805
"779",-0.475,-0.255,-0.565,-0.335,-0.075,-0.405,0.605,-0.345
"781",0.245,-0.665,0.315,0.085,0.025,-0.205,0.175,-0.535
"800",-0.445,-0.415,0.755,-0.475,-0.375,0.195,0.065,0.165
"805",-0.28,-0.11,-0.76,-0.66,0.4,0.2,-0.44,-0.07
"807",0.2800098,0.3600098,0.8400098,0.5600098,0.3200098,1.33001,0.1600098,-0.9899902
"812",-0.2525,0.3575,0.8575,-0.4425,-0.3725,0.8375,-0.2425,-0.4325
"813",0.36,0.19,-0.51,-0.07,-0.21,-0.11,0.43,-0.01
"814",0.44,0.16,0.02,0.11,0.37,0.37,0.37,0.27
"815",-0.405,0.485,0.365,0.405,0.185,0.175,-0.075,-0.385
"819",-0.719961,1.560039,-0.06996101,0.420039,0.400039,1.180039,0.510039,0.530039
"823",-0.125,0.715,0.235,0.285,0.395,0.295,0.035,-0.145
"824",-0.5799805,1.190019,0.3600195,0.3300195,0.3100195,0.8900195,0.4300195,-0.5299805
"825",-0.34,0.77,0.48,-0.18,-0.18,0.51,0.09,-0.72
"826",-0.7975,0.2225,0.0325,0.1425,0.3725,0.4025,0.1825,-0.5975
"831",-1.5,-0.28,0.03,0.04,-0.16,0.48,-0.63,0.44
"832",-0.275,0.325,-0.185,0.475,-0.165,1.325,0.165,0.755
"833",-0.04,0.6,0.44,0.6,0.01,0.93,0.25,0.72
"834",-0.045,0.105,0.405,0.585,-0.035,0.835,0.535,0.845
"838",-0.345,0.625,0.125,-0.045,-0.155,0.085,-0.255,0.055
"839",0.43,0.31,-0.36,-0.37,-0.03,0.23,-0.36,-0.19
"843",-0.2500098,0.04999023,-0.2400098,-1.42001,0.1899902,0.1599902,-0.7200098,-0.3000098
"853",-0.355,0.065,0.205,0.375,-0.035,0.765,0.385,-0.215
"854",-0.205,0.785,1.095,0.245,0.075,0.705,-0.215,0.015
"856",-0.3,0.13,0.55,0.17,-0.23,0.89,-0.06,0.46
"857",-0.135,0.115,0.705,0.085,-0.385,0.635,-0.385,0.265
"869",0.14,-0.48,-0.07,0.04,-0.04,-0.03,-0.35,0.1
"871",-0.225,-0.295,-0.465,-0.145,-0.065,-0.265,-0.435,-0.495
"878",-0.12,-0.56,-0.02,0.15,-0.38,-0.15,-0.37,-0.29
"881",0.75,-0.3,0.62,-1.01,-0.31,0.2,-1.27,-0.41
"885",-0.195,-0.635,0.875,-0.185,-0.415,0.305,-1.265,-0.085
"891",-0.325,-1.445,0.355,-0.915,0.415,-0.605,-0.125,0.165
"892",-0.05000977,-1.12001,0.1399902,-0.9500098,0.4599902,-0.3200098,-0.2400098,0.5399902
"894",-0.035,0.005,-0.075,0.245,0.235,-1.035,-0.205,0.335
"898",-0.1649902,-0.2649902,-0.7349902,-0.3449902,-0.4649902,-0.2549902,-0.07499023,0.01500977
"899",-0.355,0.055,-0.355,-0.115,-0.155,-0.165,-0.555,-0.035
"900",-0.675,-0.145,-0.565,-0.495,-0.395,-0.215,-0.895,-0.255
"901",-0.93,-0.24,-0.5,-0.59,-0.87,-0.49,-1.33,-0.47
"902",-0.7,-0.63,-0.4,-0.46,-0.69,-0.43,-1.4,-0.25
"904",-1.0275,-0.4875,-0.1475,-0.4275,-1.0475,-0.7975,-0.9675,-0.7375
"909",-0.825,0.735,-0.685,-0.335,0.325,0.285,0.045,0.015
"911",-0.3200098,-0.02000977,-0.3700098,-0.2400098,0.2899902,0.09999023,-0.5300098,0.04999023
"916",-0.45,1.21,-0.27,0.55,0.51,0.49,0.31,0.23
"920",-0.085,0.255,-0.935,-0.195,0.205,0.315,-0.005,-0.215
"921",-0.7250098,0.1849902,-0.3950098,0.1249902,-0.2550098,0.2549902,-0.3150098,-0.4750098
"922",-0.55,-0.22,-0.22,0.36,-3.469447e-18,0.27,-0.22,-0.44
"923",-0.35,0.07,-0.19,-0.14,-0.02,-0.09,0.12,-0.35
"925",0.1200098,-0.3799902,-0.2199902,-0.8799902,-0.2099902,-0.06999023,0.1500098,-0.7099902
"931",-0.365,-0.145,-1.405,-0.515,-0.185,0.005,-0.045,-0.385
"942",0.49,0.15,0.99,1.14,1.07,0.3,0.89,0.07
"945",-0.08499023,0.8950098,0.9550098,0.7250098,0.5950098,1.24501,0.4650098,0.7050098
"951",-0.1149902,1.43501,-1.03499,-0.1949902,0.02500977,0.04500977,0.04500977,-0.5749902
"958",-0.425,1.125,0.175,-0.165,-0.065,-0.235,-0.755,0.115
"959",-0.0075,0.5825,-0.3875,-0.5575,-0.4275,0.3225,-0.0275,-0.2475
"960",0.05,0.37,-0.53,-1.2,-0.19,-0.23,-1.03,-0.86
"963",-0.005,0.455,0.055,-0.305,0.135,0.425,-0.375,-0.525
"964",-0.1449902,0.2950098,0.2750098,-0.6749902,-0.1849902,0.1950098,-0.6649902,-0.5349902
"965",-0.2200098,-0.5800098,0.05999023,-0.3400098,-0.06000977,0.5099902,-0.1100098,-0.1500098
"969",-0.05,-0.73,0.67,-0.31,0.08,0.31,-0.02,-0.37
"979",-0.7400098,0.1799902,-0.09000977,-0.6700098,-0.2300098,-0.6700098,-1.48001,-0.2000098
"981",-0.01998051,0.5100195,-0.3299805,-0.02998051,0.3900195,1.160019,-0.07998051,0.2300195
"984",-0.12,-0.24,-0.17,-0.26,-0.25,-0.19,-0.42,0.2
"988",0.01,-0.12,-0.17,-0.46,-0.33,-0.21,-0.23,-0.5
"989",0.385,-0.815,-0.925,-1.035,-0.505,-0.465,-0.125,-0.855
"991",-0.18,0.31,-0.25,-0.4,0.2,-0.44,0.7,0.29
"993",-0.125,0.635,-0.315,-0.235,0.005,-0.355,0.495,-0.185
"995",-0.035,0.225,0.735,-0.515,0.145,0.005,-0.035,0.195
"1000",1.42,-0.54,2.775558e-17,-0.16,-0.5,-0.36,-0.83,-0.3
"1006",-0.21,-0.33,0.55,0.12,-0.34,0.05,0.11,-0.56
"1007",-0.4,-0.45,0.26,0.26,-0.14,8.253489e-18,0.04,-0.41
"1010",-0.315,0.765,-0.345,0.265,0.775,0.115,-0.055,0.055
"1016",-0.0425,-0.0025,0.2675,0.2275,0.6275,0.8575,0.6075,-0.1125
"1019",0.235,0.405,0.245,0.245,0.635,1.365,0.305,-0.195
"1021",0.025,-0.365,0.175,-0.195,-0.305,-0.105,-0.425,-0.125
"1022",0.28,0.23,-0.06,-0.14,0.52,0.7,-0.09,-0.06
"1024",-0.93,1.2,0.83,0.24,-0.27,0.63,0.42,-0.33
"1028",-0.1499902,-0.7299902,-0.1199902,0.7800098,0.01000977,-0.1399902,0.2200098,0.7400098
"1029",0.045,-0.485,0.325,0.665,0.005,-0.275,0.115,0.815
"1037",0.1499902,0.07999023,0.2899902,0.04999023,0.3299902,0.04999023,-0.6400098,0.1999902
"1039",-0.585,0.005,-0.015,-0.515,-0.335,0.665,-0.085,0.385
"1040",-0.365,0.145,0.055,0.315,-0.345,-0.115,-0.355,0.205
"1044",-1.105,0.155,-0.255,-0.025,-0.295,0.235,-0.535,-0.625
"1046",-0.6900098,0.3899902,0.8599902,0.01999023,-0.01000977,0.05999023,-0.2000098,-0.1100098
"1056",-0.155,0.195,0.655,0.425,0.445,-0.495,0.565,-0.065
"1059",-0.415,0.055,-0.335,0.175,0.115,-0.235,0.405,-0.125
"1060",-0.62,0.75,1.63,1.9,0.69,0.76,0.94,-0.15
"1061",-0.435,0.115,1.345,0.795,0.725,0.465,0.635,0.085
"1062",0.2,0.11,-0.12,-0.09,-0.02,0.34,-0.04,0.28
"1069",-0.37,0.58,0.44,0.78,0.66,-0.28,0.38,0.34
"1072",-1.2,1.02,-0.99,0.23,0.34,0.86,-0.1,0.93
"1076",0.22,-0.18,0.93,0.38,0.52,0.75,-0.43,0.15
"1079",-0.285,0.095,0.565,0.225,0.015,0.525,-0.625,-0.005
"1080",-0.01000977,0.3399902,0.9099902,0.2999902,0.2199902,0.4999902,-0.4900098,-0.1400098
"1081",-0.02,0.32,0.84,0.48,0.44,0.69,-0.81,-0.3
"1083",-0.23,0.42,0.64,0.18,0.33,0.74,-0.75,-0.2
"1084",-0.135,0.335,0.715,0.375,0.415,0.745,-0.915,0.525
"1091",-0.245,-0.005,0.205,1.045,-0.045,-0.065,0.275,0.885
"1094",-0.98,0.45,-0.64,0.1,0.29,-0.12,-0.16,-0.98
"1095",-0.245,1.565,-0.235,-0.295,0.825,0.945,-0.375,-0.065
"1104",0.25,-0.36,-0.21,-0.05,0.06,-0.09,-0.24,-1.03
"1105",0.02,-0.27,0.42,0.1,-0.39,0.37,-0.49,-1.3
"1115",0.2600195,1.050019,0.1600195,0.7500195,1.94931e-05,-0.3799805,0.5100195,-0.1199805
"1118",-0.265,0.095,0.025,0.015,0.375,0.345,0.125,-0.545
"1119",-9.765625e-06,0.1799902,-0.1400098,0.4999902,-0.2400098,0.009990234,-0.07000977,0.3699902
"1122",0.005,-0.795,0.385,-0.985,-0.755,-0.495,0.235,-1.025
"1123",-0.005,-0.265,-0.785,0.745,0.025,0.295,0.345,-0.145
"1125",-0.165,-0.675,-0.435,0.175,0.475,0.255,0.125,0.145
"1126",-0.39,-0.25,-0.79,0.78,0.49,0.23,0.5,0.62
"1127",-0.435,-0.195,-0.065,0.685,0.575,0.265,0.115,0.705
"1128",0.71,-0.48,1.18,1.34,0.63,0.1,0.01,0.87
"1132",0.06001949,0.01001949,0.3100195,0.02001949,0.4000195,0.2700195,-0.8499805,0.2000195
"1133",1.085,0.015,0.585,0.525,0.405,0.185,-0.445,0.455
"1137",0.315,-0.505,-0.095,0.015,-0.135,-0.065,-0.545,0.745
"1138",-0.3050098,0.1349902,-0.5250098,0.7549902,0.5249902,0.8449902,-0.1150098,0.8849902
"1144",-0.405,-0.165,0.365,0.065,-0.185,0.675,-0.375,0.105
"1151",-0.085,0.835,0.345,-0.445,-0.195,-0.325,-0.175,0.185
"1155",0.0725,-1.1275,-0.0475,-0.0775,0.1125,0.7425,-0.6775,-0.3175
"1156",-0.04500977,-0.9950098,0.1449902,-0.3250098,0.1049902,0.6749902,-0.7050098,-0.3050098
"1158",-0.05,0.13,-0.09,-0.14,0.05,0.19,0.5,0.59
"1159",-0.01,0.63,0.47,-0.37,-0.14,0.18,0.8,0.57
"1161",6.938894e-18,0.1,-0.03,0.3,0.3,-0.22,0.04,0.53
"1167",-0.1499805,-0.7699805,1.580019,1.290019,-0.1799805,-0.1899805,-0.2799805,0.1900195
"1178",0.955,-0.135,-0.065,-0.455,-0.235,-0.315,0.525,0.645
"1181",0.505,0.395,0.155,0.185,0.115,0.055,0.745,0.785
"1190",0.29,0.45,-0.39,0.03,-0.19,-0.34,0.32,-0.42
"1192",0.375,0.425,0.045,1.075,0.865,0.975,1.235,0.485
"1194",0.015,-0.705,-0.705,-0.205,0.085,0.505,-0.045,-0.565
"1195",0.6300098,-0.4599902,0.1800098,-0.1299902,9.765625e-06,-0.4299902,0.7800098,-0.5699902
"1198",-0.125,-0.405,0.595,-0.365,-0.085,-0.425,-0.265,0.285
"1204",-0.07,0.04,0.37,0.11,-0.25,-0.07,-0.46,0.22
"1214",0.5800195,-0.2799805,-0.7799805,0.3100195,0.2200195,-0.7499805,-0.8399805,-0.3899805
"1215",-0.03,0.31,0.35,0.07,-0.35,-0.61,0.11,0.15
