"","V9","V10","V19","V31","V32","V33","V53","V54","V55"
"526",-0.3199805,-0.4999805,0.6800195,-1.239981,0.2800195,0.715019493,-1.459961,0.1900195,-0.9199805
"534",-0.9349805,0.1350195,-0.5949805,-0.1249805,-0.03498051,0.330019493,-0.604961,0.3950195,0.5450195
"546",0.18,-0.28,-0.55,0.35,1.04,-0.575,-0.1499805,0.2,-0.16
"551",0.435,0.075,0.295,-0.355,1.175,-0.67,-0.9949805,0.065,-0.405
"557",0.365,0.005,-0.525,-1.045,-0.155,0.14,-1.02498,0.385,-0.535
"559",0.73,-0.39,-0.28,-0.13,0.02,-0.045,0.2100195,0.35,-0.18
"566",-0.445,-0.125,0.295,-1.535,-0.865,0.11,-0.3749805,0.585,-0.145
"582",-0.11,-0.1,0.12,-0.51,-0.11,-0.045,0.1000195,0.44,-0.12
"583",-0.565,-0.155,-0.225,-0.455,-0.155,-0.36,0.1450195,0.565,0.115
"587",0.09500977,0.1350098,1.13501,-0.1749902,0.1150098,0.110009766,0.0250293,0.4050098,-0.1849902
"593",-0.4124805,-0.1124805,-0.7524805,-1.142481,-0.07248051,-0.087480507,0.997539,0.4475195,-0.9524805
"595",-0.12,-0.17,0.19,-0.73,-0.43,-0.725,0.5900195,-1.45,-1.08
"597",0.395,-0.735,0.145,-0.795,-1.055,-0.55,0.6750195,0.315,-0.005
"603",0.35,8.673617e-19,0.91,-0.54,-0.42,-0.205,-0.6899805,0.51,-0.72
"604",-0.1,-0.41,0.41,0.24,0.33,-1.135,-1.19998,-0.62,-2.1
"612",0.175,-0.595,0.245,0.005,-0.065,-0.85,0.06501953,0.415,0.015
"614",0.455,-0.005,0.875,-1.585,0.175,0.41,0.02501953,0.025,-0.315
"619",0.645,0.075,0.055,-0.355,0.145,-0.07,-1.01498,-0.235,0.035
"623",0.14,-1.66,-0.27,0.07,-0.98,-1.465,1.39002,-0.81,-1.32
"624",-0.0025,-2.2925,0.4175,0.5675,-0.5225,0.0125,0.1875195,-0.2325,-0.8925
"629",0.1250195,0.03501949,0.4850195,-0.4849805,0.1350195,-0.619980507,-0.194961,0.5950195,-0.4749805
"632",0.9500098,-0.2099902,0.3000098,-0.4399902,0.4800098,-0.044990234,-0.4299707,1.01001,0.5300098
"640",0.005,-0.645,-0.095,0.365,0.095,-0.09,0.2850195,0.755,-0.325
"641",0.485,-0.375,0.435,-0.005,-0.225,-0.91,0.3450195,0.145,-0.545
"642",0.15,-0.45,0.05,-0.39,-0.38,-0.935,0.2300195,0.14,-0.84
"646",0.155,-0.585,0.485,-0.785,0.005,-0.16,-0.1849805,0.065,-0.385
"650",-0.125,-0.535,-0.175,0.045,-0.005,-0.52,0.6950195,0.075,-0.935
"656",-0.065,-0.505,-0.165,-0.535,-0.165,-0.89,0.3550195,0.275,1.795
"658",0.075,-0.245,0.225,0.225,0.485,-0.42,0.03501953,0.125,-0.095
"666",0.2050098,-0.2649902,0.4350098,-0.09499023,-0.2949902,-0.579990234,1.095029,0.2550098,-0.3649902
"667",0.245,-0.055,0.165,0.345,-0.085,-0.23,1.11502,0.015,-0.235
"670",0.09000977,-0.8099902,0.1600098,-0.4299902,-0.1299902,-0.834990234,0.5000293,0.4300098,-0.7199902
"672",0.155,0.455,-0.065,-0.525,0.375,-1.06,-0.03498047,0.065,-0.695
"675",-0.59,0.16,0.45,-0.19,-0.03,-0.735,1.06002,1,-0.86
"678",-0.04,-0.38,-0.68,-0.08,-0.26,-0.385,0.4700195,0.14,-0.7
"679",0.75,-0.03,0.08,-0.05,-0.15,-0.385,0.4300195,-0.13,-1.39
"680",0.3449902,-0.2850098,-0.1450098,-0.1750098,-0.1450098,-0.210009766,0.3650098,0.2149902,-1.00501
"681",0.8,-0.24,0.29,-0.02,-0.1,-0.505,0.3300195,-0.06,-1.31
"682",0.4349902,-0.1350098,0.3349902,-2.65501,-0.1650098,-0.650009766,0.01500977,0.05499023,-1.14501
"683",0.15,0.17,-0.77,-0.45,0.04,-0.705,0.7500195,0.33,-0.21
"684",0.14,0.38,-0.51,-0.41,0.04,-0.635,1.03002,0.25,-0.19
"687",0.11,-0.58,-0.41,-0.86,-0.39,-0.565,-0.2999805,1.2,-0.12
"699",0.2725,-1.0375,0.1125,-0.7575,-0.8275,-0.0025,-0.3874805,0.6825,0.0625
"704",-0.065,-0.095,0.445,-1.125,0.355,0.41,0.2650195,0.915,-0.165
"710",-0.17,-0.32,0.72,0.54,-0.49,-0.355,-0.1499805,-0.33,-0.48
"711",-0.285,-0.475,0.565,0.495,-0.715,-0.27,-0.08498047,-0.395,-0.435
"712",-0.3799902,-0.6499902,0.9700098,0.4200098,-0.8099902,0.035009766,-0.0499707,-0.2999902,-0.5899902
"716",0.125,0.475,0.095,-0.425,0.645,-0.05,0.005019531,-0.125,-0.505
"721",0.06,0.08,0.03,-0.32,-0.23,0.325,0.4000195,0.12,-0.5
"722",0.5449902,0.1649902,0.2749902,-0.1050098,-0.3250098,0.479990234,-0.3649902,-0.6350098,-0.3250098
"723",0.8100195,-0.01998051,0.2200195,-0.02998051,-0.2899805,0.525019493,-0.349961,-0.6399805,-0.4199805
"726",-0.505,0.295,-0.155,0.005,-0.085,0.39,0.5250195,-0.115,-1.465
"733",-0.1550098,0.6049902,-0.04500977,0.1749902,-0.2050098,0.449990234,-0.01499023,-0.2050098,-0.2050098
"735",0.3,-0.12,-0.34,-0.08,-0.2,0.855,0.06001953,0.06,-0.01
"736",0.08,-0.29,-0.12,0.07,-0.38,0.385,-0.07998047,-0.45,-0.45
"738",-0.135,-0.125,-0.235,-0.195,0.215,0.45,0.4250195,0.525,0.365
"740",0.2574902,0.1574902,0.2674902,0.5374902,0.2874902,0.002490234,-0.3724902,-0.2125098,-0.7325098
"744",-0.3575,-0.0575,0.2025,-0.0875,0.4525,-0.2625,-0.2974805,-0.6075,-0.0075
"745",0.3050098,-0.6549902,0.1650098,0.1350098,1.09501,0.510009766,-0.6449707,-0.3949902,0.2950098
"751",-1.0825,-1.0525,-0.0325,-0.0225,-0.2325,0.0225,-0.2824805,-1.1225,0.1175
"758",0.05,-0.42,0.3,0.14,0.19,0.215,-0.4599805,0.16,0.11
"761",-0.4450098,-0.1150098,-0.6150098,0.1849902,0.1149902,-0.240009766,0.5950098,-0.7850098,-0.6850098
"765",0.265,0.385,-0.325,-0.265,0.195,-0.4,-0.9049805,-1.335,0.315
"769",0.7875,-0.2925,-0.5725,-0.4825,0.1975,-0.8475,0.2875195,-1.1125,-0.0025
"770",0.3750098,-0.1749902,-0.4549902,-0.08499023,0.2050098,-0.529990234,0.4050293,-0.4149902,-0.2949902
"776",0.2900195,1.020019,-1.449981,-0.1299805,-0.8799805,-0.144980507,-0.619961,0.1100195,0.8300195
"779",0.225,0.465,-0.185,-0.125,-0.065,-0.94,0.03501953,-0.105,-0.025
"781",-0.445,-0.285,0.035,0.245,0.145,-0.79,-0.2149805,0.225,0.195
"800",-2.215,-0.115,-1.165,0.005,-0.575,-1.22,0.06501953,0.175,0.545
"805",-0.13,0.09,-0.06,-0.31,-0.18,0.795,-0.06998047,0.16,0.16
"807",9.765625e-06,-0.1899902,1.01001,0.1300098,-0.1899902,-0.474990234,-0.5099707,-0.1299902,0.1500098
"812",-0.8825,0.1975,0.6875,0.8875,-0.0325,0.0325,-1.76248,0.7375,0.1375
"813",-0.27,-0.35,-0.24,-0.19,-0.33,0.205,-0.6699805,-0.15,1.08
"814",0.04,-0.5,-0.22,-0.5,-0.39,-0.855,-0.6699805,0.24,-0.03
"815",-0.245,-0.655,0.025,-0.205,-0.045,0.03,-0.3149805,0.295,0.435
"819",-0.129961,0.330039,1.020039,0.690039,-0.179961,-0.164961014,-1.469941,0.380039,0.120039
"823",-0.405,-0.355,-0.015,-0.005,0.005,0.25,-1.57498,0.245,0.075
"824",-0.6699805,-0.7399805,0.05001949,0.3700195,-0.07998051,0.655019493,-1.359961,0.1200195,-0.4799805
"825",-0.66,-0.37,1.02,0.35,-0.37,-0.115,-0.9299805,0.17,0.39
"826",-0.4975,0.5225,0.3725,0.1425,-0.2375,-0.0125,-0.9874805,0.3725,-0.3175
"831",0.06,0.3,0.58,0.18,-0.2,-0.295,-1.62998,0.46,0.19
"832",0.035,-0.005,0.445,0.105,-0.395,-0.28,-0.8349805,0.145,-0.285
"833",-0.25,-0.17,0.55,-0.38,-0.17,-0.205,-1.26998,0.02,0.04
"834",-0.155,-0.335,0.845,-0.155,0.015,-0.09,-1.17498,-0.115,0.095
"838",-0.205,-0.495,0.635,0.015,-0.125,-0.35,-1.05498,-0.795,-0.245
"839",0.2,-1.23,0.66,0.37,0.21,-0.345,-1.11998,-0.16,-0.06
"843",0.1599902,0.6299902,1.18999,-0.2300098,-0.3000098,-0.365009766,-1.38999,0.2699902,0.5199902
"853",-0.895,-0.645,0.615,0.265,-0.225,-0.58,-0.9949805,-0.505,-1.615
"854",-0.685,0.005,0.705,0.175,-0.155,0.36,-0.3949805,0.245,-0.215
"856",-0.3,0.2,0.84,0.45,0.45,-0.185,0.7300195,0.76,0.07
"857",-0.215,-0.065,0.555,0.295,0.295,-0.44,0.4550195,0.575,0.255
"869",-0.1,-0.24,1.734723e-18,0.46,0.35,0.645,0.4700195,0.83,-0.13
"871",-0.355,0.195,0.035,0.215,-0.235,0.08,-0.1749805,-0.315,0.095
"878",0.3,-0.78,0.04,-0.52,-0.06,0.175,0.08001953,0.5,-0.11
"881",-0.41,-0.34,-0.33,0.21,0.64,1.215,0.8300195,-0.25,0.19
"885",-1.705,1.205,-0.375,-0.135,0.015,0.14,0.02501953,0.085,0.325
"891",-0.805,1.375,-0.725,-0.385,0.015,1.83,0.1250195,0.165,-0.245
"892",-0.6300098,1.43999,-0.4800098,-0.1300098,0.02999023,1.244990234,9.765625e-06,-0.06000977,-0.2000098
"894",-0.445,-0.235,-0.755,0.235,0.125,0.12,-0.05498047,-0.095,0.805
"898",-0.1249902,0.01500977,-0.6449902,0.2050098,0.1250098,0.570009766,0.5650293,0.1850098,0.5650098
"899",-0.435,-0.165,-0.825,-0.495,-0.125,0.28,0.3650195,0.035,0.085
"900",0.045,0.045,-0.055,0.275,0.235,-0.74,0.9450195,-0.215,0.765
"901",-0.28,-0.01,0.06,0.43,0.32,0.325,0.9400195,0.01,0.12
"902",-0.32,-0.14,0.01,0.34,0.42,0.435,0.6700195,-0.02,0.04
"904",-0.5375,-0.6275,0.1425,0.3025,0.3825,0.9875,0.6725195,0.0325,-0.3175
"909",-0.395,-0.035,-0.895,0.345,0.145,0.41,0.08501953,0.565,0.535
"911",-0.02000977,0.07999023,-0.1300098,-0.1200098,-0.2100098,0.324990234,-0.05999023,0.08999023,0.01999023
"916",-0.02,-0.09,0.72,0.66,-0.32,0.175,0.4700195,-0.42,0.28
"920",-0.485,-0.255,0.215,0.265,0.185,0.76,0.1350195,0.175,0.405
"921",-0.4750098,-0.2350098,0.09499023,-0.2250098,-0.2050098,0.499990234,0.3350098,-0.7050098,0.3049902
"922",-0.61,-0.27,3.469447e-18,0.08,-0.28,0.645,0.1600195,-0.67,0.57
"923",-0.3,-0.47,0.39,-0.05,-0.41,0.875,0.2500195,0.68,0.23
"925",-0.7299902,-0.1199902,0.01000977,0.4900098,-0.6099902,0.155009766,0.0900293,0.4200098,0.01000977
"931",-0.415,-0.505,0.475,0.055,-0.005,0.33,0.1550195,-0.485,0.085
"942",3.455894e-18,0.46,-0.6,-0.35,-0.09,-0.315,-0.4099805,-0.59,-0.61
"945",-0.2249902,0.5050098,0.1350098,1.07501,-0.2449902,-0.109990234,-0.7449707,0.2150098,-0.7049902
"951",-0.1249902,-0.2549902,0.2450098,0.1150098,-0.09499023,-0.239990234,0.2150293,0.4950098,-0.1349902
"958",0.015,0.725,0.195,-0.315,0.365,-0.45,-0.1349805,0.225,0.975
"959",0.0725,0.4525,-0.0675,-0.2775,-0.0075,0.0075,-0.3174805,0.1425,1.0825
"960",0.26,0.08,-0.02,-0.35,1.02,0.555,-0.5399805,0.63,0.9
"963",-0.415,-0.445,-0.055,0.135,0.085,0.35,-0.1649805,0.335,0.585
"964",-0.4749902,0.06500977,-0.5049902,0.3150098,0.1750098,0.170009766,-0.0149707,0.4250098,0.2150098
"965",-1.02001,0.3299902,-0.1900098,0.2399902,0.5899902,0.334990234,-0.009990234,-0.5200098,-0.8700098
"969",-0.17,0.47,-0.54,0.13,0.4,0.645,0.2000195,0.31,-0.65
"979",-0.8000098,0.4799902,0.1699902,-0.5000098,0.2599902,0.354990234,-0.2099902,-0.7300098,-0.3300098
"981",0.2200195,-0.2299805,-0.3499805,0.2200195,-0.3299805,-0.034980507,0.02003902,0.6700195,0.7600195
"984",0.12,0.26,-0.28,0.09,0.21,0.075,-0.07998047,0.45,0.11
"988",0.23,-0.27,-0.99,-0.42,-0.15,-0.135,0.3400195,0.47,-0.45
"989",0.355,-1.015,-0.885,-0.135,0.135,-0.99,0.9650195,0.365,0.465
"991",0.23,-0.04,0.11,0.28,0.21,-0.205,-0.2999805,0.15,-0.13
"993",-0.105,0.025,0.065,0.055,0.205,-0.33,0.1150195,-0.215,-0.215
"995",0.235,-0.295,0.105,-0.025,-0.195,-0.1,0.02501953,0.205,0.095
"1000",0.12,0.1,-1.32,-0.21,0.55,0.445,-0.2699805,-0.85,-0.73
"1006",0.06,1.01,-0.16,0.92,1.59,0.565,-0.4599805,0.56,1.37
"1007",4.756937e-18,0.43,-0.81,0.34,1.15,0.525,0.2300195,0.56,0.64
"1010",-0.125,-1.655,-1.645,0.365,0.555,0.82,-0.7249805,0.355,0.585
"1016",0.3775,-0.3525,-0.7025,0.4575,-0.2325,0.0025,-1.25248,0.0875,-0.2325
"1019",-0.315,-1.015,-1.665,0.525,-0.635,-0.52,-0.3049805,1.055,0.225
"1021",-0.185,-0.845,-0.505,0.615,-0.455,0.44,-0.4649805,0.295,0.055
"1022",-0.14,-0.37,-0.08,0.35,-0.16,0.455,-0.2499805,0.59,0.5
"1024",-0.57,-1.47,-0.55,-8.538092e-19,0.41,0.085,-0.01998047,-1.67,-0.4
"1028",0.2900098,-0.3799902,0.3700098,-0.4299902,-0.4299902,-0.424990234,0.4700293,0.06000977,0.1400098
"1029",0.245,-1.015,-0.125,-0.455,-0.885,-0.82,0.6250195,0.055,-0.185
"1037",-0.4900098,-0.1900098,0.4399902,-0.6300098,0.2499902,0.244990234,0.7100098,-0.5500098,-1.17001
"1039",0.085,-0.895,0.545,-0.175,-1.435,-0.27,0.9150195,-0.075,-0.715
"1040",-0.525,-0.285,-0.755,-0.115,-0.295,-0.47,1.03502,0.075,-0.595
"1044",-0.455,-0.715,-0.105,0.625,0.205,-0.38,1.13502,-0.545,0.265
"1046",-0.4300098,-1.01001,-0.6500098,0.3499902,-0.2000098,-2.745009766,-0.4499902,-0.2600098,0.06999023
"1056",-0.355,-0.535,-1.125,-0.225,-0.545,-0.55,0.2750195,0.615,1.135
"1059",-0.065,-0.545,-0.605,-0.105,0.165,-0.46,0.4550195,0.235,0.355
"1060",-1.65,-1.06,-0.97,-0.46,-0.3,-1.405,1.65002,-1.02,-0.44
"1061",-0.055,-1.065,-0.425,-0.005,0.065,0.27,0.3550195,0.205,0.505
"1062",-0.04,-0.14,-0.08,0.01,-0.64,-0.205,0.07001953,0.21,0.92
"1069",-0.22,0.59,-1.36,0.06,-0.59,-0.695,1.35002,-1,0.4
"1072",-0.78,-1.26,-0.7,0.57,-0.53,0.195,0.3000195,0.54,1.58
"1076",-0.68,-0.28,-1.23,0.25,0.37,-0.135,0.04001953,-0.41,-0.01
"1079",-0.245,-0.635,-0.625,0.005,0.325,-0.12,-0.08498047,-0.355,0.175
"1080",-0.2400098,-0.4400098,-0.7300098,0.1199902,0.1299902,-0.085009766,0.04000977,-0.3400098,0.06999023
"1081",-0.47,-0.55,-1.16,0.09,0.13,0.015,0.01001953,-0.39,0.21
"1083",-0.78,-0.68,-0.72,0.18,-0.16,0.155,0.2800195,-0.48,0.11
