"","V1","V2","V3","V6","V7"
"349",-0.4799902,-0.09002922,-0.3399902,-0.4099902,0.1600098
"352",-0.3349902,0.3849708,0.5950098,-2.76499,-0.4449902
"353",0.055,-0.495039,-0.115,-1.075,0.615
"354",-0.22,0.08996101,-0.31,-0.05,-0.36
"359",-0.775,0.05496101,-0.005,-0.165,0.905
"363",-0.355,0.05496101,-0.665,-0.045,0.185
"366",-0.73,-0.280039,1.52,0.82,-0.54
"370",-0.0975,-0.03753899,-0.0175,0.0225,0.4125
"383",0.2025,0.242461,0.5325,-0.1475,-0.1075
"393",0.94,0.04996101,0.42,-0.77,0.46
"399",0.8449902,-0.2650488,0.3149902,0.5249902,0.7249902
"401",0.495,-0.185039,-0.245,0.325,-0.035
"402",-0.025,-0.295039,-0.745,-0.045,-0.325
"407",-0.51,-0.580039,0.41,0.12,0.44
"417",0.545,-0.03503899,0.275,-0.245,0.295
"420",-0.1,0.189961,0.47,0.65,0.97
"428",1.10499,-0.1950488,-0.3150098,0.3649902,-0.6750098
"434",-0.075,-0.435039,0.265,-0.565,-0.785
"435",-0.015,-0.185039,0.775,-0.285,-0.205
"437",0.055,-0.07503899,-0.225,-0.275,-0.675
"441",0.09,0.09996101,0.42,0.96,-0.44
"445",0.15,-0.160039,0.49,0.32,-1.1
"452",-0.355,-0.155039,-0.125,0.385,-0.305
"454",-0.3850098,-0.2750488,-0.03500977,0.3449902,0.5949902
"455",-0.045,-0.275039,-0.065,0.515,0.265
"457",-0.18,-0.230039,-0.71,1.2,0.36
"460",0.36,0.499961,0.02,-0.41,-0.89
"463",-0.8950098,-0.6550488,-0.4250098,-0.07500977,-0.4450098
"468",0.225,-0.365039,0.245,-0.705,-0.445
"475",0.96,-0.330039,0.16,-1.01,0.12
"488",-0.245,0.204961,-0.555,-0.595,-1.085
"491",-0.035,-0.605039,-0.775,-0.515,-1.385
"498",-0.3725,0.03746101,-0.5125,-0.5425,-0.0725
"500",-0.3575,-0.127539,-0.8875,-0.6075,-1.0475
"505",-0.7050195,0.2549415,-0.5550195,-0.8450195,-0.9150195
"508",0.09999023,0.5799512,-0.06000977,0.2599902,-1.12001
"511",-0.29,0.369961,-0.55,0.06,-0.32
"525",-0.5999805,-1.94931e-05,-0.09998051,-0.8999805,-0.5599805
"526",-0.7299805,-0.04001949,0.1700195,-0.7699805,-0.3699805
"534",0.1650195,0.01498051,0.5050195,-0.7849805,-0.9649805
"546",-0.15,0.339961,0.14,-0.1,-0.61
"551",-0.625,0.684961,-0.045,0.075,-0.505
"557",-0.485,0.334961,0.015,0.105,-0.515
"559",-0.31,0.219961,0.22,0.85,-0.48
"566",-0.355,-0.675039,-0.665,0.345,-0.365
"582",-0.17,-0.110039,-0.29,0.2,0.16
"583",-0.785,-0.05503899,-0.445,0.135,-0.185
"587",-0.3749902,-0.08502922,-0.6149902,0.3550098,-0.09499023
"593",-0.02248051,-0.002519493,-0.3124805,0.01751949,-0.01248051
"595",-0.64,-0.920039,0.08,0.2,-1.96
"597",-0.275,0.444961,0.525,-0.205,0.085
"603",-0.48,-0.300039,-0.3,1.4,0.07
"604",0.72,1.019961,-0.39,-0.13,1.79
"612",-0.405,-0.475039,0.715,-0.625,-1.095
"614",-0.395,-0.605039,0.125,0.515,-0.115
"619",-0.155,-0.335039,-0.165,0.255,-0.645
"623",-1.15,-0.400039,-0.38,-0.86,-1.73
"624",-1.1525,-0.852539,-0.3325,0.5075,-1.1325
"629",-0.1849805,-0.1450195,0.02501949,0.2650195,-0.7949805
"632",-0.3999902,-0.1900292,-0.1399902,0.8800098,-0.1299902
"640",-0.405,-0.885039,-0.865,0.235,0.525
"641",-1.125,-1.295039,-0.735,0.905,-0.245
"642",-1.15,-1.280039,-0.9,1.07,-0.12
"646",-0.825,-0.985039,-0.795,0.875,-1.195
"650",-0.515,-0.405039,-0.125,0.325,-1.245
"656",-0.425,-0.155039,-0.435,0.555,-0.185
"658",-0.415,-0.425039,-0.275,0.045,-0.245
"666",-0.3849902,-0.5350292,-0.04499023,0.07500977,-1.61499
"667",-0.075,-0.475039,0.005,-0.365,-0.915
"670",-0.5899902,-0.6800292,-0.3399902,0.5000098,-0.5799902
"672",-0.245,-0.005038986,0.005,0.475,-0.595
"675",-0.5,-0.320039,0.07,0.26,-0.77
"678",0.03,-0.590039,0.13,0.34,-0.78
"679",-0.36,-0.370039,-0.01,0.58,-0.39
"680",-0.09500977,-0.3450488,0.07499023,0.7149902,-0.4250098
"681",-0.39,-0.410039,0.37,0.67,0.12
"682",-0.9350098,-0.4850488,-0.01500977,-0.1150098,0.3049902
"683",-0.32,-0.150039,-0.72,0.21,-0.87
"684",-0.27,-0.160039,-0.51,0.06,-0.84
"687",-0.48,-0.410039,-0.96,0.11,0.46
"699",-1.4675,-0.917539,-0.4075,-0.2175,0.5125
"704",-0.215,-0.415039,-0.005,-0.175,-0.395
"710",-1.32,-0.800039,-0.44,1.09,-0.99
"711",-1.165,-0.725039,-0.765,0.865,-1.145
"712",-0.8599902,-0.7200292,-0.5999902,1.24001,-0.4599902
"716",-0.115,-0.08503899,0.165,-0.045,0.145
"721",0.17,0.07996101,-0.19,0.55,0.14
"722",-0.1650098,0.1449512,-1.03501,0.1749902,0.3949902
"723",-0.1099805,-0.05001949,-1.229981,0.2500195,-0.1199805
"726",-0.225,-0.335039,-0.605,0.145,-0.395
"733",-0.2150098,0.1149512,-0.3950098,-0.5450098,0.1749902
"735",0.06,0.179961,-0.22,-0.42,0.47
"736",0.05,0.869961,0.12,0.72,0.89
"738",0.435,0.364961,0.585,0.105,-0.075
"740",-0.02250977,0.1574512,0.5874902,-1.05251,0.3474902
"744",-0.0575,-0.007538986,0.5925,-0.0975,-0.3775
"745",0.07500977,-0.4350292,0.6650098,0.2150098,-0.4649902
"751",0.2375,0.697461,0.5975,-0.4725,-0.4025
"758",-0.01,-0.05003899,0.07,-0.22,0.16
"761",0.9449902,0.4349512,0.04499023,-0.1750098,-0.3550098
"765",-0.235,0.144961,0.015,-0.495,-0.005
"769",-0.5525,-0.07253899,-0.4725,-0.7225,0.0175
"770",-0.09499023,0.06497078,-0.1549902,-0.2349902,-0.02499023
"776",0.06001949,-0.1200195,-0.4099805,0.2000195,0.8700195
"779",-0.175,0.184961,0.365,0.445,0.345
"781",0.145,-0.185039,0.365,-0.075,-0.075
"800",0.395,0.08496101,-0.635,0.995,-0.155
"805",0.16,0.01996101,0.36,0.82,-0.05
"807",-0.4199902,0.2499708,0.1600098,-0.1599902,-0.3499902
"812",-0.2425,-0.222539,0.5175,-1.6825,-0.1725
"813",-0.03,-0.570039,0.32,0.21,-0.29
"814",0.49,-0.270039,0.45,0.15,-0.49
"815",-0.225,0.154961,-0.265,-0.185,-0.145
"819",-0.669961,-0.01,0.230039,-0.05996101,-0.09996101
"823",-0.395,0.03496101,0.005,-0.195,-0.665
"824",0.1800195,0.009980507,0.03001949,-0.4499805,-0.2999805
"825",-0.28,0.179961,-0.01,0.02,0.45
"826",0.2325,0.252461,0.3725,-0.1375,-0.2975
"831",-0.35,0.849961,0.81,-0.02,-0.23
"832",0.245,0.634961,0.615,-0.545,-0.435
"833",0.1,0.429961,0.62,-0.37,-0.02
"834",0.205,0.104961,0.505,0.115,-0.025
"838",-0.125,-0.125039,-0.005,0.055,0.285
"839",-0.92,-0.580039,-0.02,-1.29,-1.16
"843",-0.3500098,0.3599512,0.3499902,-0.4800098,-0.4800098
"853",-0.625,0.464961,0.325,-0.645,-0.635
"854",-0.905,-0.455039,0.295,-0.115,-0.535
"856",-0.63,-0.130039,0.73,-1.81,-0.44
"857",-0.855,-0.245039,0.595,-1.415,-1.075
"869",0.05,0.269961,0.51,-1.07,-0.96
"871",0.005,0.02496101,-0.025,-0.775,-0.475
"878",0.39,0.149961,-0.07,-0.45,-0.34
"881",-0.04,0.689961,-0.35,-0.36,-1.39
"885",-0.055,0.484961,-0.375,-1.005,-0.825
"891",0.825,-1.085039,0.725,-0.315,-0.555
"892",0.4799902,-1.250049,0.5599902,0.1899902,-0.7000098
"894",-0.375,-0.215039,0.415,-0.675,-0.385
"898",-0.1849902,0.1549708,-0.5249902,-0.08499023,0.4350098
"899",-0.465,-0.515039,0.275,-0.005,-0.715
"900",-0.275,0.294961,0.045,-0.055,-0.595
"901",-0.29,0.789961,-0.62,-0.29,-0.44
"902",-0.22,0.289961,-0.52,0.06,-1.46
"904",0.5025,0.332461,-0.4175,0.5225,-0.1675
"909",0.185,0.484961,-0.075,-0.315,-0.185
"911",0.1299902,0.08995125,-0.9000098,0.01999023,0.1299902
"916",-0.15,-0.04003899,0.33,0.27,0.05
"920",-0.415,-0.285039,-0.495,0.035,0.045
"921",-0.05500977,0.09495125,0.1049902,0.5549902,-0.3950098
"922",0.07,0.349961,-0.08,0.21,-0.74
"923",0.37,0.209961,-0.63,0.09,-0.4
"925",0.2200098,-0.2700292,-0.5299902,0.02000977,-0.3899902
"931",0.085,0.07496101,-0.555,0.495,1.145
"942",0.11,0.369961,0.06,0.07,-0.24
"945",-1.21499,-1.335029,0.5350098,-0.1049902,-0.6849902
"951",-0.6049902,-0.4150292,-0.1649902,0.5050098,-0.6849902
"958",-0.155,-0.005038986,0.725,-0.175,-0.245
"959",0.1625,-0.147539,0.5125,1.1325,-0.0475
"960",-0.13,0.449961,0.61,0.09,-0.51
"963",0.025,0.304961,-0.105,0.125,-0.355
"964",0.3750098,0.3849708,0.1750098,0.2350098,-0.1849902
"965",0.2299902,0.6299512,-0.3000098,0.1899902,-0.5000098
"969",0.74,0.689961,0.43,0.05,-0.38
"979",0.5399902,-0.3700488,0.1699902,0.7999902,0.9299902
"981",0.2400195,0.01998051,-0.04998051,-0.2699805,0.07001949
"984",-0.35,-0.250039,-0.32,-0.04,0.01
"988",-0.13,-0.270039,0.04,0.23,-0.17
"989",0.205,-0.225039,-0.355,0.005,-0.295
"991",0.06,-0.350039,0.17,-0.21,0.35
"993",-0.325,-0.505039,-0.095,-0.075,0.505
"995",-0.495,-0.485039,0.435,-0.715,-0.745
"1000",1.02,1.199961,-0.16,4.8,0.13
"1006",0.17,0.939961,-0.18,-0.36,0.03
"1007",0.11,0.519961,-0.04,-0.79,-0.08
"1010",-1.285,-1.955039,-0.975,0.315,0.055
"1016",-0.6325,-0.102539,-0.6625,0.2875,0.1575
"1019",0.005,-0.445039,-0.935,-0.885,-0.535
"1021",1.005,0.09496101,-0.845,-0.675,-0.405
"1022",0.51,0.159961,-0.41,-6.932118e-18,0.24
"1024",-0.07,0.199961,0.27,-0.21,-0.49
"1028",0.03000977,0.1099708,-0.009990234,0.4700098,-0.2699902
"1029",0.155,0.09496101,-0.035,0.385,-1.055
"1037",-0.1500098,-0.3000488,-0.8500098,-0.05000977,-0.5800098
"1039",0.105,-0.295039,-0.445,0.095,0.255
"1040",-0.435,-0.405039,-0.145,0.235,-0.555
"1044",-0.095,-0.285039,-0.085,0.735,0.155
"1046",0.01999023,0.05995125,-0.3300098,-0.2700098,0.009990234
"1056",0.705,-0.06503899,-0.205,-0.115,-0.805
"1059",0.065,0.294961,0.085,0.635,0.085
"1060",1.82,1.489961,1.38,-0.37,-1.83
"1061",0.145,0.844961,0.115,-0.385,0.025
"1062",0.23,0.419961,0.06,-0.4,-0.22
"1069",-0.03,-0.160039,0.02,-0.83,-1
"1072",-1.05,-1.210039,-1.81,-1.19,-0.41
"1076",-0.44,-0.630039,-0.55,-0.65,-1.13
"1079",-0.615,-0.745039,-0.275,-0.345,-1.455
"1080",-0.06000977,-0.5500488,-0.3900098,-0.3700098,-1.70001
"1081",-0.15,-0.390039,-0.07,-0.22,-1.86
"1083",-0.69,-0.480039,0.07,-0.28,-2.08
"1084",-0.755,-0.685039,-0.175,-0.425,-1.625
"1091",0.415,0.894961,0.035,-0.455,-0.745
"1094",-0.09,-0.670039,0.02,-0.1,0.56
"1095",-0.695,-0.495039,-0.945,0.265,0.495
"1104",0.28,0.449961,-0.36,-0.7,0.38
"1105",0.43,0.869961,0.02,-1.2,1.17
"1115",-0.8399805,0.2299805,1.94931e-05,0.6700195,-0.5599805
"1118",-0.625,-0.115039,-0.035,-0.105,-0.165
"1119",-0.7800098,-0.5300488,-0.2900098,0.2799902,0.3699902
"1122",-0.645,-0.605039,-0.315,-0.395,-0.425
"1123",-0.115,0.454961,-0.085,0.655,0.565
"1125",-0.075,-0.215039,-0.105,0.005,0.525
"1126",-0.26,0.699961,-0.39,0.4,-0.41
"1127",-0.215,0.294961,-0.335,0.575,-0.545
"1128",-0.27,-0.480039,0.75,-0.01,0.56
"1132",-0.3299805,-0.8200195,0.01001949,-0.6099805,-0.9199805
"1133",-0.895,-1.015039,-0.085,0.025,0.205
"1137",-0.375,-0.605039,0.135,-0.015,-0.355
"1138",-1.04501,-0.5350488,0.4449902,0.2749902,0.1549902
"1144",-0.215,-0.995039,-1.285,-0.685,-0.715
"1151",-0.535,-0.985039,-1.435,1.145,-0.865
"1155",-0.4975,0.102461,0.1225,0.0325,-1.1275
"1156",-0.1450098,0.08495125,0.6249902,-0.06500977,-0.8350098
"1158",-0.76,-0.640039,-0.31,-0.09,0.45
"1159",-0.63,-1.190039,-0.73,-0.36,-0.17
"1161",0.12,-0.550039,0.24,-6.938894e-18,-0.29
"1167",0.5300195,0.01998051,0.6500195,0.03001949,-1.499981
"1178",-0.115,-0.06503899,-0.065,-0.035,-0.965
"1181",0.055,0.404961,-0.305,-0.355,-0.865
"1190",-0.14,-3.898621e-05,0.05,-0.96,-0.29
"1192",-0.185,0.334961,0.165,-0.735,-0.535
"1194",-0.455,-0.385039,-0.095,-0.225,-1.125
"1195",-0.7199902,-0.09002922,-0.2399902,-0.3599902,-0.7499902
"1198",-0.085,-0.165039,0.165,-0.365,0.425
"1204",-0.74,0.08996101,-0.59,-0.03,-0.37
"1214",-0.4799805,-0.4600195,-0.3999805,0.2200195,-0.6699805
"1215",0.22,0.03996101,-0.1,0.27,0.02
"1224",-0.385,-0.235039,-0.225,-0.795,-0.465
"1226",-0.3649805,-0.005019493,-0.4249805,-0.9149805,-0.6749805
"1228",-0.075,0.07496101,-0.035,-0.235,-0.895
"1235",-0.305,0.224961,-0.585,-0.015,-0.245
"1244",-0.3849902,-0.04502922,-0.2849902,-0.3549902,0.4550098
"1254",-1.395,-0.795039,-0.685,0.045,-0.365
"1260",-0.4875,-0.147539,-0.4375,0.5825,0.1425
"1261",-0.3925,0.197461,-0.2725,0.0875,0.3875
"1262",-0.3950098,-0.3250488,-0.8650098,-0.06500977,0.2649902
"1270",-0.5799902,-0.2300292,-0.2599902,-0.3299902,0.08000977
"1278",-0.5275,0.202461,0.1225,-0.4875,-0.1275
"1282",-0.68,0.04996101,0.01,-0.65,-0.26
"1284",0.285,-0.475039,0.765,-1.005,0.195
"1289",0.275,0.394961,0.135,-0.145,-0.675
"1290",0.4199902,0.6499512,0.08999023,-0.4300098,-0.2500098
"1293",0.2899902,0.5599512,-0.05000977,-0.3500098,0.4399902
"1296",-0.59,0.159961,-0.86,-0.23,0.89
"1299",-0.275,0.534961,0.015,-0.775,-0.815
"1306",-0.255,0.154961,0.175,-0.485,-1.005
"1307",-0.025,-0.105039,-0.015,0.295,-1.385
"1312",-0.345,-0.235039,-0.115,-0.375,-0.825
"1317",0.015,-0.345039,0.075,0.845,-0.155
"1324",0.3499805,0.1499415,0.5199805,0.7899805,-0.04001953
"1325",0.115,0.454961,0.655,0.915,-0.455
"1328",-0.185,-0.725039,-0.235,0.035,-1.055
"1334",0.7,1.049961,0.6,-0.43,-0.54
"1336",0.005,0.194961,-0.515,0.435,0.375
"1338",-0.07999023,0.1899708,-0.1199902,-0.2599902,-0.6299902
"1346",-0.285,0.164961,-0.865,-0.265,-0.175
"1348",0.15,0.549961,-0.11,-0.76,-0.37
"1349",0.135,0.344961,-0.185,-0.795,-0.515
"1350",0.11,-0.670039,-0.08,-1.02,-1.01
"1353",0.12,0.239961,0.24,-0.06,-0.07
"1358",0.3450195,-0.02501949,-0.6049805,-0.1849805,0.4650195
"1359",-0.745,0.07496101,-0.205,-0.755,-0.565
"1364",-0.055,-0.005038986,-0.195,0.035,0.235
"1365",0.01,-0.120039,0.1,-0.01,0.31
"1368",0.2800098,-0.04002922,-0.1299902,-0.1899902,-1.04999
"1370",-0.13,-0.480039,-0.03,-0.18,0.36
"1385",0.03,-0.680039,0.49,1.03,-2.62
"1401",-0.32,-0.420039,0.62,-1.26,-0.66
"1402",-1.51,-1.190039,1.51,-0.18,-2.05
"1413",0.3750097,0.1449707,0.06500973,-1.17499,-0.04499027
"1419",0.06000977,-0.02002922,-0.01999023,-0.07999023,-0.3799902
"1420",-0.305,-0.165039,0.085,0.205,-0.295
"1422",-0.36,-0.06003899,-0.05,0.07,0.11
"1424",-0.935,-1.125039,-0.195,-0.495,-1.435
"1426",-0.2150098,-0.5350488,-0.5450098,-0.1450098,-0.1850098
"1427",0.1975,-0.452539,0.0775,-0.6725,-0.7425
"1428",0.055,-0.615039,-0.625,-0.945,-1.615
"1429",-0.705,-0.445039,-0.795,-0.945,-0.815
"1436",0.1800195,-1.94931e-05,-0.3899805,-1.109981,-0.2299805
"1439",-3.469447e-18,0.319961,-0.17,0.22,0.02
"1441",-0.395,-0.205039,0.335,-0.015,-0.675
"1444",-0.5425,-0.472539,0.2075,-0.2125,-0.7725
"1445",-0.6975,-0.827539,0.5025,0.0225,-0.7075
"1446",-0.6249902,-0.9050292,0.5450098,0.02500977,-0.5249902
"1449",0.55,-0.350039,0.06,-0.3,-0.89
"1452",0.15,-0.410039,-0.45,-0.15,-0.74
"1454",-0.185,-0.595039,-0.285,0.265,-0.265
"1455",0.3500195,-0.02001949,0.02001949,-0.3699805,-0.5899805
"1456",-0.025,0.214961,-0.315,-0.095,-0.055
"1460",-0.5999902,-0.1800292,0.7600098,-0.3799902,-0.5799902
"1461",-0.55,-0.390039,-0.25,-0.35,-0.58
"1462",-0.335,-0.225039,-0.235,-0.635,-0.575
"1473",0.0925,0.312461,-0.3075,-0.4975,-0.2175
"1479",0.005,0.104961,-0.435,-0.375,-0.895
"1483",0.1199902,0.04995125,-0.1200098,-0.5800098,0.4599902
"1484",-0.5950098,-1.215049,0.1349902,-0.2550098,-0.4550098
"1492",-0.54,-0.510039,-0.14,-0.01,-0.09
"1497",-0.055,0.434961,-0.535,-0.185,-0.915
"1501",-0.6,-0.260039,-0.14,-0.67,-0.03
"1503",-0.009980507,0.3699805,0.09001949,-0.6499805,-0.1999805
"1506",-0.23,-0.100039,-0.37,0.7,0.2
"1509",0.085,0.254961,0.195,-0.525,0.055
"1510",0.25,0.169961,-0.87,-0.81,0.38
"1511",0.32,-0.03003899,0.33,0.23,-0.03
"1512",0.275,0.174961,-0.295,-0.905,0.435
"1513",-0.005,-0.155039,-0.285,-0.325,0.165
"1514",-0.1649902,-0.03502922,-0.3549902,-0.3849902,-0.2149902
"1519",0.08000977,-0.05002922,-0.7399902,-0.09999023,0.2700098
"1521",-0.98,0.01996101,-0.42,-0.08,0.15
"1522",-0.08498051,0.004980507,-0.1349805,0.4950195,0.8950195
"1524",-0.395,-0.335039,-0.245,1.045,0.835
"1528",-0.1649902,-0.2450292,-0.4449902,0.6050098,0.09500977
"1532",-0.8,-0.720039,-0.98,-0.97,0.17
"1535",-0.455,0.474961,-0.525,0.065,-0.115
"1536",-0.0575,0.132461,-0.6075,-0.1775,0.1825
"1542",-0.05,-0.05003899,-0.5,-0.28,-0.12
"1547",-0.505,-0.01503899,0.005,-0.055,0.325
"1548",-0.4449805,0.02498051,-0.02498051,-0.1249805,-0.3249805
"1550",1.94931e-05,0.2599805,0.3000195,0.2800195,-0.6499805
"1551",0.09,-0.420039,0.14,-0.06,-0.74
"1555",-0.2649805,0.03498051,-0.4449805,0.1750195,0.1950195
"1556",-0.47,0.149961,-0.48,0.13,-0.4
"1557",-0.345,-0.475039,-0.335,0.435,0.685
"1563",-0.455,0.01496101,0.095,0.575,0.215
"1565",-0.2,-3.898621e-05,0.09,0.64,0.67
"1567",-0.38,0.139961,0.01,0.26,0.63
"1568",-0.305,0.794961,0.395,0.305,0.395
"1569",-0.195,-0.365039,-0.775,0.535,0.645
"1575",-0.545,-0.675039,-0.375,-0.035,0.405
"1583",-0.73,0.139961,-0.47,-0.02,0.87
"1585",-0.32,0.239961,-0.31,-0.37,0.84
"1587",-0.3150098,0.01495125,-0.2550098,0.04499023,-0.3850098
"1588",-0.485,-0.225039,-0.475,0.245,0.185
"1589",-0.4149805,0.004980507,-0.3849805,0.4250195,0.2350195
"1594",-0.285,-0.205039,-0.555,0.805,0.445
"1596",-0.35,0.08996101,-0.18,0.39,-0.06
"1600",-0.3600098,-0.1100488,-0.4600098,0.3699902,0.1699902
"1603",-0.5075,-0.717539,-0.4775,-0.1675,-0.9275
"1605",-0.705,-0.135039,-0.355,-0.395,-0.485
"1606",-0.335,-0.245039,-0.075,-0.745,-0.935
"1607",-0.29,-0.210039,-0.6,0.31,-0.24
"1610",-0.1999805,-1.94931e-05,-0.4799805,0.7800195,0.9700195
"1617",-0.16,-0.120039,0.62,0.28,0.84
"1619",-0.66,-0.310039,-0.37,0.49,0.53
"1621",-0.27,-0.160039,-0.53,0.65,0.36
"1622",-0.2500098,-0.4000488,-0.6800098,1.23999,-0.2200098
"1628",-0.09,-0.430039,-0.01,-0.09,0.18
"1636",-0.005009766,-0.5950488,0.7249902,-0.8950098,-0.7950098
"1640",-0.4599902,0.6599708,-0.05999023,-0.1599902,-0.7399902
"1641",-0.315,0.614961,-0.235,-0.025,-0.735
"1642",-0.44,0.619961,-0.1,0.28,-0.97
"1646",0.1800195,-0.01001949,-0.4999805,-0.5299805,-0.6999805
"1648",-0.105,-0.565039,-0.615,-0.535,-1.875
"1649",-1.18,-0.290039,-0.53,-0.75,-1.72
"1652",-0.84,-0.660039,-1.85,-0.42,-0.6
"1657",-0.1050098,-0.4950488,0.05499023,-0.9350098,-0.2050098
"1658",-0.09498051,0.004980507,-0.2849805,-0.06498051,-0.1449805
"1660",-1.12,-1.030039,3.469447e-18,-0.04,0.4
"1661",0.08499023,-0.9950488,-0.4750098,-0.07500977,-0.6450098
"1662",-0.8599902,-1.400029,-0.4599902,0.2600098,-1.23999
"1663",-0.2,-0.660039,-0.82,0.02,-0.89
"1670",0.2549902,-0.04504875,-1.24501,-0.9350098,-0.1350098
"1673",0.62,0.03996101,0.06,0.05,-0.85
"1674",0.565,0.05496101,0.035,-0.135,-1.585
"1677",-0.485,0.104961,0.835,0.435,-0.595
"1678",-0.105,0.294961,0.355,0.195,-0.285
"1679",-0.11,-0.190039,0.19,0.29,0.02
"1680",0.015,-0.575039,0.335,0.105,-0.665
"1681",0.195,-0.415039,0.685,-0.055,-0.655
"1685",-0.4875,-0.09753899,-0.1175,-0.4375,-0.5075
"1691",-0.43,-0.06003899,-0.81,-0.36,0.68
"1693",0.035,-0.205039,-0.875,-1.395,0.275
